date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,6,0,0,6
2020-03-05,6,0,0,6
2020-03-06,6,0,0,6
2020-03-07,6,0,0,6
2020-03-08,6,0,0,6
2020-03-09,6,1,0,5
2020-03-10,9,3,0,6
2020-03-11,9,3,0,6
2020-03-12,12,3,0,9
2020-03-13,27,3,0,24
2020-03-14,27,3,0,24
2020-03-15,27,3,0,24
2020-03-16,36,3,0,33
2020-03-17,36,3,0,33
2020-03-18,51,5,0,46
2020-03-19,51,5,0,46
2020-03-20,69,5,0,64
2020-03-21,76,15,0,61
2020-03-22,76,15,0,61
2020-03-23,81,15,0,66
2020-03-24,81,22,0,59
2020-03-25,86,29,0,57
2020-03-26,86,29,0,57
2020-03-27,94,32,0,62
2020-03-28,94,32,0,62
2020-03-29,94,32,0,62
2020-03-30,152,32,0,120
2020-03-31,152,47,1,104
2020-04-01,163,53,2,108
2020-04-02,304,53,4,247
2020-04-03,351,53,4,294
