date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,2,0,0,2
2020-02-24,2,0,0,2
2020-02-25,2,0,0,2
2020-02-26,2,0,0,2
2020-02-27,2,0,0,2
2020-02-28,2,0,0,2
2020-02-29,2,0,0,2
2020-03-01,9,0,0,9
2020-03-02,9,0,0,9
2020-03-03,10,0,0,10
2020-03-04,10,0,0,10
2020-03-05,13,0,0,13
2020-03-06,13,0,0,13
2020-03-07,13,0,0,13
2020-03-08,20,0,0,20
2020-03-09,20,0,0,20
2020-03-10,25,0,0,25
2020-03-11,35,0,0,35
2020-03-12,35,0,0,35
2020-03-13,55,0,0,55
2020-03-14,88,0,0,88
2020-03-15,101,0,0,101
2020-03-16,182,0,0,182
2020-03-17,228,0,0,228
2020-03-18,265,0,0,265
2020-03-19,265,0,0,265
2020-03-20,461,6,0,455
2020-03-21,592,6,0,586
2020-03-22,687,8,1,678
2020-03-23,801,8,2,791
2020-03-24,977,17,2,958
2020-03-25,1197,22,3,1172
2020-03-26,1361,22,4,1335
2020-03-27,1665,43,5,1617
2020-03-28,2015,61,6,1948
2020-03-29,2245,75,7,2163
2020-03-30,2555,156,8,2391
2020-03-31,2844,156,12,2676
2020-04-01,3137,234,16,2887
2020-04-02,3510,335,18,3157
