date,confirmed,recovered,deaths,active
2020-01-22,548,28,17,503
2020-01-23,643,30,18,595
2020-01-24,920,36,26,858
2020-01-25,1406,39,42,1325
2020-01-26,2075,49,56,1970
2020-01-27,2877,58,82,2737
2020-01-28,5509,101,131,5277
2020-01-29,6087,120,133,5834
2020-01-30,8141,135,171,7835
2020-01-31,9802,214,213,9375
2020-02-01,11891,275,259,11357
2020-02-02,16630,463,361,15806
2020-02-03,19716,614,425,18677
2020-02-04,23707,843,491,22373
2020-02-05,27440,1115,563,25762
2020-02-06,30587,1477,633,28477
2020-02-07,34110,1999,718,31393
2020-02-08,36814,2596,805,33413
2020-02-09,39829,3219,905,35705
2020-02-10,42354,3918,1012,37424
2020-02-11,44386,4636,1112,38638
2020-02-12,44759,5082,1117,38560
2020-02-13,59895,6217,1369,52309
2020-02-14,66358,7977,1521,56860
2020-02-15,68413,9298,1663,57452
2020-02-16,70513,10755,1766,57992
2020-02-17,72434,12462,1864,58108
2020-02-18,74211,14206,2003,58002
2020-02-19,74619,15962,2116,56541
2020-02-20,75077,18014,2238,54825
2020-02-21,75550,18704,2238,54608
2020-02-22,77001,22699,2443,51859
2020-02-23,77022,23187,2445,51390
2020-02-24,77241,25015,2595,49631
2020-02-25,77754,27676,2665,47413
2020-02-26,78166,30084,2717,45365
2020-02-27,78600,32930,2746,42924
2020-02-28,78928,36329,2790,39809
2020-02-29,79356,39320,2837,37199
2020-03-01,79932,42162,2872,34898
2020-03-02,80136,44854,2914,32368
2020-03-03,80261,47450,2947,29864
2020-03-04,80386,50001,2983,27402
2020-03-05,80537,52292,3015,25230
2020-03-06,80690,53944,3044,23702
2020-03-07,80770,55539,3072,22159
2020-03-08,80823,57388,3100,20335
2020-03-09,80860,58804,3123,18933
2020-03-10,80887,60181,3139,17567
2020-03-11,80921,61644,3161,16116
2020-03-12,80932,62901,3172,14859
2020-03-13,80945,64196,3180,13569
2020-03-14,80977,65660,3193,12124
2020-03-15,81003,67017,3204,10782
2020-03-16,81033,67910,3219,9904
2020-03-17,81058,68798,3232,9028
2020-03-18,81102,69755,3243,8104
2020-03-19,81156,70535,3251,7370
2020-03-20,81250,71266,3255,6729
2020-03-21,81305,71857,3262,6186
2020-03-22,81435,72362,3277,5796
2020-03-23,81493,72814,3279,5400
2020-03-24,81587,73280,3286,5021
2020-03-25,81658,73773,3290,4595
2020-03-26,81781,74181,3299,4301
2020-03-27,81872,74720,3304,3848
2020-03-28,81964,75100,3307,3557
2020-03-29,82058,75582,3313,3163
2020-03-30,82139,75923,3318,2898
2020-03-31,83786,76206,3323,4257
2020-04-01,84002,76405,3332,4265
2020-04-02,84129,76565,3339,4225
2020-04-03,84265,76760,3348,4157
2020-04-04,84363,76946,3353,4064
2020-04-05,84467,77207,3357,3903
2020-04-06,84611,77310,3361,3940
2020-04-07,84692,77410,3362,3920
2020-04-08,84909,77567,3366,3976
2020-04-09,85024,77679,3372,3973
2020-04-10,85115,77791,3373,3951
2020-04-11,85208,77877,3379,3952
2020-04-12,85377,77956,3381,4040
2020-04-13,85489,78039,3385,4065
2020-04-14,85569,78200,3387,3982
2020-04-15,85668,78311,3389,3968
2020-04-16,85774,78401,3391,3982
2020-04-17,86187,77552,4686,3949
2020-04-18,86258,77614,4687,3957
2020-04-19,86321,77690,4687,3944
2020-04-20,86382,77745,4688,3949
2020-04-21,86452,77799,4691,3962
2020-04-22,86508,77861,4692,3955
2020-04-23,86548,77983,4693,3872
2020-04-24,86594,78109,4694,3791
2020-04-25,86632,78175,4695,3762
2020-04-26,86661,78277,4696,3688
2020-04-27,86692,78374,4696,3622
2020-04-28,86754,78422,4697,3635
2020-04-29,86783,78474,4697,3612
2020-04-30,86828,78523,4697,3608
2020-05-01,86850,78573,4698,3579
2020-05-02,86858,78586,4698,3574
2020-05-03,86842,78684,4699,3459
2020-05-04,86838,78792,4699,3347
2020-05-05,86855,78870,4699,3286
2020-05-06,86877,78929,4699,3249
2020-05-07,86888,78977,4701,3210
2020-05-08,86905,78993,4702,3210
2020-05-09,86934,79127,4702,3105
2020-05-10,86973,79167,4703,3103
2020-05-11,86980,79198,4704,3078
2020-05-12,87002,79222,4704,3076
2020-05-13,87016,79246,4704,3066
2020-05-14,87032,79261,4704,3067
2020-05-15,87052,79281,4704,3067
2020-05-16,87070,79293,4705,3072
2020-05-17,87092,79306,4705,3081
2020-05-18,87119,79310,4705,3104
2020-05-19,87135,79310,4706,3119
2020-05-20,87151,79310,4706,3135
2020-05-21,87190,79310,4706,3174
2020-05-22,87235,79332,4706,3197
2020-05-23,87266,79335,4706,3225
2020-05-24,87313,79343,4706,3264
2020-05-25,87360,79352,4706,3302
2020-05-26,87390,79358,4707,3325
2020-05-27,87421,79367,4708,3346
2020-05-28,87444,79371,4708,3365
2020-05-29,87466,79382,4708,3376
2020-05-30,87475,79386,4708,3381
2020-05-31,87496,79389,4708,3399
2020-06-01,87520,79398,4708,3414
2020-06-02,87535,79400,4708,3427
2020-06-03,87538,79404,4708,3426
2020-06-04,87553,79415,4708,3430
2020-06-05,87561,79420,4708,3433
2020-06-06,87572,79424,4708,3440
2020-06-07,87581,79434,4708,3439
2020-06-08,87587,79444,4708,3435
2020-06-09,87610,79451,4708,3451
2020-06-10,87626,79456,4708,3462
2020-06-11,87636,79464,4708,3464
2020-06-12,87648,79472,4708,3468
2020-06-13,87713,79475,4708,3530
2020-06-14,87769,79482,4708,3579
2020-06-15,87830,79489,4708,3633
2020-06-16,87880,79493,4708,3679
2020-06-17,87921,79510,4708,3703
2020-06-18,87965,79515,4709,3741
2020-06-19,87971,79515,4709,3747
2020-06-20,88034,79534,4709,3791
2020-06-21,88057,79535,4710,3812
2020-06-22,88115,79547,4710,3858
2020-06-23,88150,79555,4711,3884
2020-06-24,88172,79562,4711,3899
2020-06-25,88201,79572,4712,3917
2020-06-26,88229,79580,4712,3937
2020-06-27,88258,79591,4712,3955
2020-06-28,88277,79609,4713,3955
2020-06-29,88305,79619,4713,3973
2020-06-30,88311,79632,4713,3966
2020-07-01,88344,79650,4713,3981
2020-07-02,88360,79665,4713,3982
2020-07-03,88372,79680,4713,3979
2020-07-04,88395,79706,4713,3976
2020-07-05,88415,79718,4713,3984
2020-07-06,88444,79725,4713,4006
2020-07-07,88485,79754,4713,4018
2020-07-08,88524,79802,4713,4009
2020-07-09,88571,79802,4713,4056
2020-07-10,88612,79802,4713,4097
2020-07-11,88657,79876,4713,4068
2020-07-12,88708,79907,4713,4088
2020-07-13,88766,79907,4713,4146
2020-07-14,88828,79967,4714,4147
2020-07-15,88852,80005,4714,4133
2020-07-16,88935,80038,4716,4181
2020-07-17,89015,80064,4716,4235
2020-07-18,89109,80092,4718,4299
2020-07-19,89280,80137,4718,4425
2020-07-20,89376,80162,4718,4496
2020-07-21,89454,80204,4720,4530
2020-07-22,89614,80244,4720,4650
2020-07-23,89768,80297,4721,4750
2020-07-24,89957,80341,4722,4894
2020-07-25,90192,80409,4724,5059
2020-07-26,90432,80459,4724,5249
2020-07-27,90658,80466,4728,5464
2020-07-28,90875,80517,4728,5630
2020-07-29,91074,80594,4730,5750
2020-07-30,91359,80680,4730,5949
2020-07-31,91500,80787,4733,5980
2020-08-01,91690,80907,4737,6046
2020-08-02,91864,81018,4740,6106
2020-08-03,91983,81113,4743,6127
2020-08-04,92109,81234,4747,6128
2020-08-05,92255,81417,4749,6089
2020-08-06,92406,81592,4750,6064
2020-08-07,92540,81788,4752,6000
2020-08-08,92646,81969,4753,5924
2020-08-09,92778,82125,4757,5896
2020-08-10,92919,82247,4760,5912
2020-08-11,92986,82440,4764,5782
2020-08-12,93091,82633,4769,5689
2020-08-13,93210,82804,4771,5635
2020-08-14,93308,82956,4772,5580
2020-08-15,93392,83108,4774,5510
2020-08-16,93503,83200,4775,5528
2020-08-17,93605,83283,4775,5547
2020-08-18,93675,83408,4776,5491
2020-08-19,93720,83566,4778,5376
2020-08-20,93782,83663,4779,5340
2020-08-21,93851,83793,4781,5277
2020-08-22,93922,83924,4782,5216
2020-08-23,93978,83988,4783,5207
2020-08-24,94027,84058,4784,5185
2020-08-25,94077,84168,4784,5125
2020-08-26,94118,84251,4785,5082
2020-08-27,94166,84335,4786,5045
2020-08-28,94202,84419,4791,4992
2020-08-29,94236,84484,4793,4959
2020-08-30,94272,84546,4795,4931
2020-08-31,94310,84594,4796,4920
2020-09-01,94363,84652,4797,4914
2020-09-02,94402,84695,4800,4907
2020-09-03,94445,84737,4801,4907
2020-09-04,94491,84782,4801,4908
2020-09-05,94516,84837,4801,4878
2020-09-06,94565,84873,4802,4890
2020-09-07,94601,84900,4805,4896
2020-09-08,94621,84932,4806,4883
2020-09-09,94641,84957,4806,4878
2020-09-10,94683,85005,4806,4872
2020-09-11,94722,85025,4807,4890
2020-09-12,94752,85054,4808,4890
2020-09-13,94851,85086,4808,4957
2020-09-14,94911,85101,4809,5001
2020-09-15,94934,85129,4809,4996
2020-09-16,94966,85155,4810,5001
2020-09-17,95021,85181,4810,5030
2020-09-18,95056,85204,4811,5041
2020-09-19,95103,85226,4811,5066
2020-09-20,95159,85239,4811,5109
2020-09-21,95196,85257,4811,5128
2020-09-22,95229,85275,4811,5143
2020-09-23,95254,85304,4811,5139
2020-09-24,95289,85323,4812,5154
2020-09-25,95323,85343,4812,5168
2020-09-26,95368,85360,4813,5195
2020-09-27,95416,85381,4813,5222
2020-09-28,95452,85398,4813,5241
2020-09-29,95499,85423,4813,5263
2020-09-30,95536,85460,4813,5263
2020-10-01,95568,85479,4813,5276
2020-10-02,95617,85494,4813,5310
2020-10-03,95648,85511,4813,5324
2020-10-04,95694,85530,4813,5351
2020-10-05,95744,85540,4813,5391
2020-10-06,95789,85566,4813,5410
2020-10-07,95829,85588,4813,5428
2020-10-08,95875,85612,4813,5450
2020-10-09,95913,85641,4813,5459
2020-10-10,95979,85658,4813,5508
2020-10-11,96034,85669,4813,5552
2020-10-12,96083,85690,4813,5580
2020-10-13,96124,85707,4813,5604
2020-10-14,96146,85720,4814,5612
2020-10-15,96203,85743,4814,5646
2020-10-16,96231,85762,4814,5655
2020-10-17,96271,85791,4814,5666
2020-10-18,96322,85819,4814,5689
2020-10-19,96389,85840,4814,5735
2020-10-20,96427,85873,4814,5740
2020-10-21,96461,85899,4814,5748
2020-10-22,96514,85929,4814,5771
2020-10-23,96557,85950,4814,5793
2020-10-24,96602,85974,4814,5814
2020-10-25,96643,86002,4814,5827
2020-10-26,96826,86018,4814,5994
2020-10-27,96921,86031,4814,6076
2020-10-28,96984,86049,4814,6121
2020-10-29,97004,86082,4814,6108
2020-10-30,97097,86111,4814,6172
2020-10-31,97153,86135,4814,6204
2020-11-01,97250,86162,4814,6274
2020-11-02,97333,86189,4814,6330
2020-11-03,97411,86212,4814,6385
2020-11-04,97565,86241,4815,6509
2020-11-05,97622,86264,4816,6542
2020-11-06,97684,86301,4817,6566
2020-11-07,97740,86344,4817,6579
2020-11-08,97816,86369,4818,6629
2020-11-09,97852,86393,4820,6639
2020-11-10,97902,86421,4821,6660
2020-11-11,97948,86451,4821,6676
2020-11-12,97980,86488,4821,6671
2020-11-13,98018,86518,4821,6679
2020-11-14,98045,86543,4821,6681
2020-11-15,98069,86572,4822,6675
2020-11-16,98104,86616,4822,6666
2020-11-17,98126,86667,4822,6637
2020-11-18,98150,86700,4822,6628
2020-11-19,98185,86727,4822,6636
2020-11-20,98240,86751,4822,6667
2020-11-21,98318,86769,4822,6727
2020-11-22,98407,86792,4822,6793
2020-11-23,98511,86816,4823,6872
2020-11-24,98598,86847,4823,6928
2020-11-25,98709,86888,4823,6998
2020-11-26,98796,86900,4823,7073
2020-11-27,98902,86937,4824,7141
2020-11-28,99000,86968,4827,7205
2020-11-29,99142,86998,4827,7317
2020-11-30,99245,87017,4827,7401
2020-12-01,99336,87051,4830,7455
2020-12-02,99458,87101,4831,7526
2020-12-03,99570,87147,4832,7591
2020-12-04,99709,87204,4835,7670
2020-12-05,99839,87259,4835,7745
2020-12-06,99945,87331,4835,7779
2020-12-07,100043,87404,4835,7804
2020-12-08,100159,87483,4835,7841
2020-12-09,100275,87582,4837,7856
2020-12-10,100405,87707,4837,7861
2020-12-11,100509,87815,4837,7857
2020-12-12,100617,87944,4838,7835
2020-12-13,100737,88041,4840,7856
2020-12-14,100844,88122,4843,7879
2020-12-15,100959,88211,4846,7902
2020-12-16,101056,88326,4847,7883
2020-12-17,101170,88429,4849,7892
2020-12-18,101267,88538,4853,7876
2020-12-19,101415,88666,4853,7896
2020-12-20,101521,88781,4854,7886
2020-12-21,101635,88861,4857,7917
2020-12-22,101728,88963,4859,7906
2020-12-23,101811,89104,4860,7847
2020-12-24,101909,89205,4862,7842
2020-12-25,102002,89330,4863,7809
2020-12-26,102102,89423,4864,7815
2020-12-27,102207,89518,4865,7824
2020-12-28,102311,89586,4869,7856
2020-12-29,102389,89697,4874,7818
2020-12-30,102481,89813,4877,7791
2020-12-31,102571,89923,4881,7767
2021-01-01,102649,90031,4884,7734
2021-01-02,102731,90099,4886,7746
2021-01-03,102808,90159,4887,7762
2021-01-04,102930,90213,4888,7829
2021-01-05,103026,90306,4890,7830
2021-01-06,103170,90400,4892,7878
2021-01-07,103331,90478,4895,7958
2021-01-08,103461,90543,4896,8022
2021-01-09,103626,90630,4901,8095
2021-01-10,103754,90697,4903,8154
2021-01-11,103895,90772,4903,8220
2021-01-12,104146,90857,4906,8383
2021-01-13,104322,90953,4912,8457
2021-01-14,104563,91026,4912,8625
2021-01-15,104777,91100,4914,8763
2021-01-16,104995,91158,4919,8918
2021-01-17,105246,91205,4920,9121
2021-01-18,105525,91263,4924,9338
2021-01-19,105715,91322,4928,9465
2021-01-20,105955,91382,4931,9642
2021-01-21,106193,91382,4935,9876
2021-01-22,106453,91526,4936,9991
2021-01-23,106683,91609,4938,10136
2021-01-24,106954,91709,4939,10306
2021-01-25,107069,91775,4943,10351
2021-01-26,107230,91920,4946,10364
2021-01-27,107402,92076,4947,10379
2021-01-28,107510,92223,4950,10337
2021-01-29,107642,92321,4955,10366
2021-01-30,107771,92622,4956,10193
2021-01-31,107827,92779,4960,10088
2021-02-01,107902,92891,4966,10045
2021-02-02,107961,93060,4968,9933
2021-02-03,108012,93280,4970,9762
2021-02-04,108060,93459,4971,9630
2021-02-05,108135,93606,4976,9553
2021-02-06,108174,93752,4976,9446
2021-02-07,108226,93883,4977,9366
2021-02-08,108288,93989,4979,9320
2021-02-09,108342,94147,4982,9213
2021-02-10,108365,94288,4984,9093
2021-02-11,108414,94413,4988,9013
2021-02-12,108450,94536,4990,8924
2021-02-13,108482,94641,4991,8850
2021-02-14,108519,94728,4994,8797
2021-02-15,108551,94796,4995,8760
2021-02-16,108575,94875,4996,8704
2021-02-17,108607,94960,4999,8648
2021-02-18,108645,95034,5001,8610
2021-02-19,108674,95110,5001,8563
2021-02-20,108707,95181,5001,8525
2021-02-21,108743,95241,5001,8501
2021-02-22,108775,95293,5002,8480
2021-02-23,108807,95332,5004,8471
2021-02-24,108839,95462,5005,8372
2021-02-25,108866,95518,5006,8342
2021-02-26,108906,95561,5007,8338
2021-02-27,108950,95605,5007,8338
2021-02-28,108997,95649,5009,8339
2021-03-01,109034,95681,5011,8342
2021-03-02,109061,95721,5012,8328
2021-03-03,109101,95755,5012,8334
2021-03-04,109131,95778,5013,8340
2021-03-05,109162,95804,5013,8345
2021-03-06,109207,95835,5015,8357
2021-03-07,109248,95851,5015,8382
2021-03-08,109280,95869,5015,8396
2021-03-09,109315,95903,5016,8396
2021-03-10,109350,95923,5018,8409
2021-03-11,109390,95951,5019,8420
2021-03-12,109464,95972,5019,8473
2021-03-13,109538,96011,5019,8508
2021-03-14,109577,96040,5019,8518
2021-03-15,109628,96060,5019,8549
2021-03-16,109655,96087,5019,8549
2021-03-17,109686,96123,5019,8544
2021-03-18,109713,96154,5019,8540
2021-03-19,109735,96173,5019,8543
2021-03-20,109762,96208,5019,8535
2021-03-21,109781,96231,5019,8531
2021-03-22,109815,96269,5020,8526
2021-03-23,109850,96314,5020,8516
2021-03-24,109878,96346,5021,8511
2021-03-25,109906,96390,5021,8495
2021-03-26,109960,96433,5022,8505
2021-03-27,110001,96452,5022,8527
2021-03-28,110029,96478,5022,8529
2021-03-29,110060,96504,5022,8534
2021-03-30,110081,96518,5022,8541
2021-03-31,110109,96537,5023,8549
2021-04-01,110169,96558,5023,8588
2021-04-02,110235,96583,5023,8629
2021-04-03,110273,96605,5023,8645
2021-04-04,110327,96619,5023,8685
2021-04-05,110382,96642,5023,8717
2021-04-06,110405,96660,5023,8722
2021-04-07,110442,96675,5023,8744
2021-04-08,110474,96693,5024,8757
2021-04-09,110513,96715,5025,8773
2021-04-10,110536,96729,5026,8781
2021-04-11,110587,96749,5026,8812
2021-04-12,110619,96768,5026,8825
2021-04-13,110658,96788,5026,8844
2021-04-14,110683,96809,5028,8846
2021-04-15,110715,96827,5028,8860
2021-04-16,110778,96839,5028,8911
2021-04-17,110829,96855,5029,8945
2021-04-18,110881,96877,5029,8975
2021-04-19,110916,96895,5030,8991
2021-04-20,110952,96935,5030,8987
2021-04-21,110966,96958,5030,8978
2021-04-22,111014,96989,5030,8995
2021-04-23,111053,97008,5030,9015
2021-04-24,111079,97033,5030,9016
2021-04-25,111110,97055,5030,9025
2021-04-26,111142,97070,5030,9042
2021-04-27,111172,97097,5030,9045
2021-04-28,111211,97123,5030,9058
2021-04-29,111252,97144,5030,9078
2021-04-30,111290,97175,5030,9085
2021-05-01,111325,97206,5031,9088
2021-05-02,111354,97232,5031,9091
2021-05-03,111385,97249,5031,9105
2021-05-04,111411,97266,5031,9114
2021-05-05,111431,97287,5031,9113
2021-05-06,111451,97312,5031,9108
2021-05-07,111478,97332,5031,9115
2021-05-08,111501,97357,5031,9113
2021-05-09,111522,97377,5031,9114
2021-05-10,111558,97390,5031,9137
2021-05-11,111596,97413,5031,9152
2021-05-12,111614,97435,5031,9148
2021-05-13,111637,97454,5031,9152
2021-05-14,111674,97479,5031,9164
2021-05-15,111720,97491,5031,9198
2021-05-16,111766,97519,5031,9216
2021-05-17,111803,97543,5031,9229
2021-05-18,111832,97560,5031,9241
2021-05-19,111857,97578,5031,9248
2021-05-20,111897,97596,5031,9270
2021-05-21,111933,97600,5031,9302
2021-05-22,111975,97621,5031,9323
2021-05-23,112014,97632,5031,9351
2021-05-24,112051,97656,5031,9364
2021-05-25,112082,97672,5031,9379
2021-05-26,112113,97685,5031,9397
2021-05-27,112141,97707,5031,9403
2021-05-28,112183,97726,5031,9426
2021-05-29,112207,97737,5031,9439
2021-05-30,112256,97756,5031,9469
2021-05-31,112286,97770,5031,9485
2021-06-01,112329,97788,5031,9510
2021-06-02,112368,97795,5031,9542
2021-06-03,112407,97813,5031,9563
2021-06-04,112450,97825,5031,9594
2021-06-05,112503,97854,5031,9618
2021-06-06,112539,97863,5031,9645
2021-06-07,112597,97890,5031,9676
2021-06-08,112620,97902,5031,9687
2021-06-09,112653,97923,5031,9699
2021-06-10,112702,97938,5031,9733
2021-06-11,112758,97956,5031,9771
2021-06-12,112820,97979,5031,9810
2021-06-13,112854,97993,5031,9830
2021-06-14,112896,98003,5031,9862
2021-06-15,112943,98020,5031,9892
2021-06-16,112997,98036,5031,9930
2021-06-17,113040,98051,5031,9958
2021-06-18,113094,98084,5032,9978
2021-06-19,113157,98104,5032,10021
2021-06-20,113186,98114,5032,10040
2021-06-21,113229,98148,5032,10049
2021-06-22,113278,98172,5032,10074
2021-06-23,113305,98211,5032,10062
2021-06-24,113347,98243,5032,10072
2021-06-25,113394,98280,5033,10081
2021-06-26,113431,98309,5033,10089
2021-06-27,113478,98331,5033,10114
