date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,2,0,0,2
2020-03-07,2,0,0,2
2020-03-08,5,0,0,5
2020-03-09,5,0,0,5
2020-03-10,5,0,0,5
2020-03-11,5,0,0,5
2020-03-12,5,0,0,5
2020-03-13,5,0,0,5
2020-03-14,11,0,0,11
2020-03-15,11,0,0,11
2020-03-16,11,0,0,11
2020-03-17,21,0,1,20
2020-03-18,21,0,1,20
2020-03-19,34,0,2,32
2020-03-20,72,0,2,70
2020-03-21,112,0,2,110
2020-03-22,202,0,3,199
2020-03-23,245,0,3,242
2020-03-24,312,3,6,303
2020-03-25,392,3,10,379
2020-03-26,488,3,10,475
2020-03-27,581,3,20,558
2020-03-28,719,3,28,688
2020-03-29,859,3,39,817
2020-03-30,901,4,42,855
2020-03-31,1109,5,51,1053
2020-04-01,1284,9,57,1218
2020-04-02,1380,16,60,1304
2020-04-03,1488,16,68,1404
