date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,6,0,0,6
2020-03-02,6,0,0,6
2020-03-03,7,0,0,7
2020-03-04,10,0,0,10
2020-03-05,13,0,0,13
2020-03-06,13,0,0,13
2020-03-07,13,0,0,13
2020-03-08,14,0,0,14
2020-03-09,15,0,0,15
2020-03-10,15,0,0,15
2020-03-11,17,0,0,17
2020-03-12,17,0,0,17
2020-03-13,17,0,0,17
2020-03-14,28,0,2,26
2020-03-15,28,0,2,26
2020-03-16,37,0,2,35
2020-03-17,58,0,2,56
2020-03-18,111,0,2,109
2020-03-19,199,0,3,196
2020-03-20,367,0,5,362
2020-03-21,506,3,7,496
2020-03-22,789,3,14,772
2020-03-23,981,3,18,960
2020-03-24,1082,3,27,1052
2020-03-25,1173,3,28,1142
2020-03-26,1403,3,34,1366
2020-03-27,1595,3,36,1556
2020-03-28,1823,3,48,1772
2020-03-29,1924,3,58,1863
2020-03-30,1962,3,60,1899
2020-03-31,2240,54,75,2111
2020-04-01,2748,58,93,2597
2020-04-02,3163,65,120,2978
