date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,1,0,0,1
2020-02-15,1,0,0,1
2020-02-16,1,0,0,1
2020-02-17,1,0,0,1
2020-02-18,1,0,0,1
2020-02-19,1,0,0,1
2020-02-20,1,0,0,1
2020-02-21,1,0,0,1
2020-02-22,1,0,0,1
2020-02-23,1,0,0,1
2020-02-24,1,0,0,1
2020-02-25,1,0,0,1
2020-02-26,1,0,0,1
2020-02-27,1,0,0,1
2020-02-28,1,1,0,0
2020-02-29,1,1,0,0
2020-03-01,2,1,0,1
2020-03-02,2,1,0,1
2020-03-03,2,1,0,1
2020-03-04,2,1,0,1
2020-03-05,3,1,0,2
2020-03-06,15,1,0,14
2020-03-07,15,1,0,14
2020-03-08,49,1,1,47
2020-03-09,55,1,1,53
2020-03-10,59,1,1,57
2020-03-11,60,27,1,32
2020-03-12,67,27,1,39
2020-03-13,80,27,2,51
2020-03-14,109,27,2,80
2020-03-15,110,21,2,87
2020-03-16,150,27,2,121
2020-03-17,196,32,4,160
2020-03-18,196,32,6,158
2020-03-19,256,32,6,218
2020-03-20,285,39,8,238
2020-03-21,294,41,10,243
2020-03-22,327,56,14,257
2020-03-23,366,56,19,291
2020-03-24,402,80,20,302
2020-03-25,456,95,21,340
2020-03-26,495,102,24,369
2020-03-27,536,116,30,390
2020-03-28,576,121,36,419
2020-03-29,609,132,40,437
2020-03-30,656,150,41,465
2020-03-31,710,157,46,507
2020-04-01,779,179,52,548
2020-04-02,865,201,58,606
2020-04-03,985,216,66,703
