date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,0,0,1
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,2,0,0,2
2020-03-04,2,0,0,2
2020-03-05,3,0,0,3
2020-03-06,10,0,0,10
2020-03-07,10,0,0,10
2020-03-08,10,0,0,10
2020-03-09,10,0,0,10
2020-03-10,12,0,0,12
2020-03-11,16,0,0,16
2020-03-12,16,0,0,16
2020-03-13,79,0,0,79
2020-03-14,115,0,0,115
2020-03-15,171,1,0,170
2020-03-16,205,1,0,204
2020-03-17,225,1,0,224
2020-03-18,258,1,0,257
2020-03-19,267,1,0,266
2020-03-20,283,1,0,282
2020-03-21,306,1,0,305
2020-03-22,326,2,0,324
2020-03-23,352,2,0,350
2020-03-24,369,7,0,362
2020-03-25,404,8,1,395
2020-03-26,538,8,1,529
2020-03-27,575,11,1,563
2020-03-28,645,20,1,624
2020-03-29,679,20,3,656
2020-03-30,715,20,3,692
2020-03-31,745,26,4,715
2020-04-01,779,33,5,741
2020-04-02,858,45,11,802
2020-04-03,961,48,12,901
