date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,2,0,0,2
2020-03-05,2,0,0,2
2020-03-06,2,0,0,2
2020-03-07,4,0,0,4
2020-03-08,7,0,0,7
2020-03-09,9,0,0,9
2020-03-10,9,0,0,9
2020-03-11,13,0,0,13
2020-03-12,13,0,0,13
2020-03-13,19,0,0,19
2020-03-14,30,1,0,29
2020-03-15,32,1,1,30
2020-03-16,39,1,1,37
2020-03-17,50,2,1,47
2020-03-18,58,2,1,55
2020-03-19,73,2,1,70
2020-03-20,85,2,3,80
2020-03-21,103,7,4,92
2020-03-22,131,16,6,109
2020-03-23,167,16,7,144
2020-03-24,187,21,9,157
2020-03-25,226,21,10,195
2020-03-26,261,28,10,223
2020-03-27,300,34,10,256
2020-03-28,343,34,11,298
2020-03-29,408,34,13,361
2020-03-30,447,34,15,398
2020-03-31,492,37,16,439
2020-04-01,525,40,20,465
2020-04-02,585,42,21,522
2020-04-03,623,43,26,554
