date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,1,0,0,1
2020-02-25,1,0,0,1
2020-02-26,5,0,0,5
2020-02-27,7,0,0,7
2020-02-28,7,0,0,7
2020-02-29,13,0,0,13
2020-03-01,19,0,0,19
2020-03-02,26,0,0,26
2020-03-03,32,0,0,32
2020-03-04,35,0,2,33
2020-03-05,35,0,2,33
2020-03-06,40,0,3,37
2020-03-07,54,0,4,50
2020-03-08,60,0,6,54
2020-03-09,60,3,6,51
2020-03-10,71,3,7,61
2020-03-11,71,15,7,49
2020-03-12,71,15,8,48
2020-03-13,101,24,9,68
2020-03-14,110,26,10,74
2020-03-15,116,26,10,80
2020-03-16,124,26,10,88
2020-03-17,154,32,11,111
2020-03-18,164,43,12,109
2020-03-19,192,43,13,136
2020-03-20,208,49,17,142
2020-03-21,214,51,17,146
2020-03-22,233,57,20,156
2020-03-23,266,57,23,186
2020-03-24,316,75,27,214
2020-03-25,346,103,29,214
2020-03-26,382,105,36,241
2020-03-27,458,122,40,296
2020-03-28,506,131,42,333
2020-03-29,547,143,42,362
2020-03-30,630,152,46,432
2020-03-31,694,170,50,474
2020-04-01,728,182,52,494
2020-04-02,772,202,54,516
2020-04-03,820,226,54,540
