date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,2,0,0,2
2020-03-04,6,0,0,6
2020-03-05,6,0,0,6
2020-03-06,18,0,0,18
2020-03-07,18,0,0,18
2020-03-08,19,0,0,19
2020-03-09,21,0,0,21
2020-03-10,34,0,0,34
2020-03-11,43,0,1,42
2020-03-12,43,0,1,42
2020-03-13,90,0,1,89
2020-03-14,129,0,2,127
2020-03-15,129,0,2,127
2020-03-16,169,0,2,167
2020-03-17,223,5,2,216
2020-03-18,292,5,2,285
2020-03-19,557,5,3,549
2020-03-20,683,5,3,675
2020-03-21,785,5,3,777
2020-03-22,906,5,4,897
2020-03-23,1125,5,6,1114
2020-03-24,1329,5,7,1317
2020-03-25,1564,5,9,1550
2020-03-26,1819,5,19,1795
2020-03-27,2121,5,22,2094
2020-03-28,2415,5,36,2374
2020-03-29,2615,5,46,2564
2020-03-30,2910,5,54,2851
2020-03-31,3235,5,71,3159
2020-04-01,3447,5,85,3357
2020-04-02,3849,5,98,3746
