date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,2,0,0,2
2020-02-01,2,0,0,2
2020-02-02,2,0,0,2
2020-02-03,2,0,0,2
2020-02-04,2,0,0,2
2020-02-05,2,0,0,2
2020-02-06,2,0,0,2
2020-02-07,3,0,0,3
2020-02-08,3,0,0,3
2020-02-09,3,0,0,3
2020-02-10,3,0,0,3
2020-02-11,3,0,0,3
2020-02-12,3,0,0,3
2020-02-13,3,0,0,3
2020-02-14,3,0,0,3
2020-02-15,3,0,0,3
2020-02-16,3,0,0,3
2020-02-17,3,0,0,3
2020-02-18,3,0,0,3
2020-02-19,3,0,0,3
2020-02-20,3,0,0,3
2020-02-21,20,0,1,19
2020-02-22,62,1,2,59
2020-02-23,155,2,3,150
2020-02-24,229,1,7,221
2020-02-25,322,1,10,311
2020-02-26,453,3,12,438
2020-02-27,655,45,17,593
2020-02-28,888,46,21,821
2020-02-29,1128,46,29,1053
2020-03-01,1694,83,34,1577
2020-03-02,2036,149,52,1835
2020-03-03,2502,160,79,2263
2020-03-04,3089,276,107,2706
2020-03-05,3858,414,148,3296
2020-03-06,4636,523,197,3916
2020-03-07,5883,589,233,5061
2020-03-08,7375,622,366,6387
2020-03-09,9172,724,463,7985
2020-03-10,10149,724,631,8794
2020-03-11,12462,1045,827,10590
2020-03-12,15113,1045,1016,13052
2020-03-13,17660,1439,1266,14955
2020-03-14,21157,1966,1441,17750
2020-03-15,24747,2335,1809,20603
2020-03-16,27980,2749,2158,23073
2020-03-17,31506,2941,2503,26062
2020-03-18,35713,4025,2978,28710
2020-03-19,41035,4440,3405,33190
2020-03-20,47021,4440,4032,38549
2020-03-21,53578,6072,4825,42681
2020-03-22,59138,7024,5476,46638
2020-03-23,63927,7024,6077,50826
2020-03-24,69176,8326,6820,54030
2020-03-25,74386,9362,7503,57521
2020-03-26,80589,10361,8215,62013
2020-03-27,86498,10950,9134,66414
2020-03-28,92472,12384,10023,70065
