date,confirmed,recovered,deaths,active
2020-01-22,2,0,0,2
2020-01-23,2,0,0,2
2020-01-24,2,0,0,2
2020-01-25,2,0,0,2
2020-01-26,4,1,0,3
2020-01-27,4,1,0,3
2020-01-28,7,1,0,6
2020-01-29,7,1,0,6
2020-01-30,11,1,0,10
2020-01-31,15,1,0,14
2020-02-01,20,1,0,19
2020-02-02,20,1,0,19
2020-02-03,20,1,0,19
2020-02-04,22,1,0,21
2020-02-05,23,1,0,22
2020-02-06,23,1,0,22
2020-02-07,23,1,0,22
2020-02-08,24,1,0,23
2020-02-09,24,1,0,23
2020-02-10,26,4,0,22
2020-02-11,27,9,0,18
2020-02-12,28,9,0,19
2020-02-13,33,9,1,23
2020-02-14,43,9,1,33
2020-02-15,54,12,1,41
2020-02-16,60,12,1,47
2020-02-17,67,12,1,54
2020-02-18,79,13,2,64
2020-02-19,85,18,2,65
2020-02-20,95,18,2,75
2020-02-21,112,22,2,88
2020-02-22,137,22,2,113
2020-02-23,149,22,2,125
2020-02-24,160,22,2,136
2020-02-25,173,22,3,148
2020-02-26,192,22,3,167
2020-02-27,218,22,4,192
2020-02-28,236,22,5,209
2020-02-29,245,32,6,207
2020-03-01,259,32,6,221
2020-03-02,278,32,6,240
2020-03-03,298,43,6,249
2020-03-04,333,43,7,283
2020-03-05,365,43,7,315
2020-03-06,420,46,7,367
2020-03-07,466,76,7,383
2020-03-08,499,76,8,415
2020-03-09,527,76,10,441
2020-03-10,585,101,13,471
2020-03-11,640,118,15,507
2020-03-12,696,118,19,559
2020-03-13,733,118,21,594
2020-03-14,795,118,22,655
2020-03-15,826,118,24,684
2020-03-16,843,144,30,669
2020-03-17,893,144,30,719
2020-03-18,928,144,32,752
2020-03-19,968,150,33,785
2020-03-20,1022,191,34,797
2020-03-21,1059,232,36,791
2020-03-22,1104,235,40,829
2020-03-23,1144,235,41,868
2020-03-24,1217,285,42,890
2020-03-25,1314,310,45,959
2020-03-26,1416,359,47,1010
2020-03-27,1530,372,53,1105
2020-03-28,1728,404,56,1268
2020-03-29,1907,424,63,1420
2020-03-30,2001,424,65,1512
2020-03-31,2255,424,67,1764
2020-04-01,2535,472,72,1991
2020-04-02,2818,472,75,2271
2020-04-03,3154,514,81,2559
2020-04-04,3525,514,87,2924
2020-04-05,3876,514,93,3269
2020-04-06,4110,575,96,3439
2020-04-07,4485,592,98,3795
2020-04-08,5020,622,105,4293
2020-04-09,5614,632,113,4869
2020-04-10,6250,685,125,5440
2020-04-11,6951,762,138,6051
2020-04-12,7473,762,147,6564
2020-04-13,7773,784,156,6833
2020-04-14,8277,799,170,7308
2020-04-15,8835,853,186,7796
2020-04-16,9398,901,204,8293
2020-04-17,9958,935,217,8806
2020-04-18,10548,1069,236,9243
2020-04-19,10914,1159,255,9500
2020-04-20,11258,1159,275,9824
2020-04-21,11641,1239,303,10099
2020-04-22,12037,1356,323,10358
2020-04-23,12469,1494,351,10624
2020-04-24,12854,1530,360,10964
2020-04-25,13186,1656,379,11151
2020-04-26,13405,1809,395,11201
2020-04-27,13576,1899,417,11260
2020-04-28,13860,1899,436,11525
2020-04-29,14076,2368,454,11254
2020-04-30,14284,2460,481,11343
2020-05-01,14558,2975,510,11073
2020-05-02,14861,3205,536,11120
2020-05-03,15061,3981,560,10520
2020-05-04,15229,4156,582,10491
2020-05-05,15354,4496,593,10265
2020-05-06,15455,4496,605,10354
2020-05-07,15553,4918,617,10018
2020-05-08,15640,5146,634,9860
2020-05-09,15755,5906,654,9195
2020-05-10,15824,8127,666,7031
2020-05-11,15861,8293,685,6883
