date,confirmed,recovered,deaths,active
2020-01-22,1,0,0,1
2020-01-23,1,0,0,1
2020-01-24,2,0,0,2
2020-01-25,2,0,0,2
2020-01-26,3,0,0,3
2020-01-27,4,0,0,4
2020-01-28,4,0,0,4
2020-01-29,4,0,0,4
2020-01-30,4,0,0,4
2020-01-31,11,0,0,11
2020-02-01,12,0,0,12
2020-02-02,15,0,0,15
2020-02-03,15,0,0,15
2020-02-04,16,0,0,16
2020-02-05,19,0,0,19
2020-02-06,23,0,0,23
2020-02-07,24,1,0,23
2020-02-08,24,1,0,23
2020-02-09,25,3,0,22
2020-02-10,27,3,0,24
2020-02-11,28,3,0,25
2020-02-12,28,7,0,21
2020-02-13,28,7,0,21
2020-02-14,28,7,0,21
2020-02-15,28,9,0,19
2020-02-16,29,9,0,20
2020-02-17,30,10,0,20
2020-02-18,31,12,0,19
2020-02-19,31,12,0,19
2020-02-20,104,16,1,87
2020-02-21,204,16,2,186
2020-02-22,433,16,2,415
2020-02-23,602,18,6,578
2020-02-24,833,18,8,807
2020-02-25,977,22,10,945
2020-02-26,1261,22,12,1227
2020-02-27,1766,22,13,1731
2020-02-28,2337,22,13,2302
2020-02-29,3150,27,16,3107
2020-03-01,3736,30,17,3689
2020-03-02,4335,30,28,4277
2020-03-03,5186,30,28,5128
2020-03-04,5621,41,35,5545
2020-03-05,6088,41,35,6012
2020-03-06,6593,135,42,6416
2020-03-07,7041,135,44,6862
2020-03-08,7314,118,50,7146
2020-03-09,7478,118,53,7307
2020-03-10,7513,247,54,7212
2020-03-11,7755,288,60,7407
2020-03-12,7869,333,66,7470
2020-03-13,7979,510,66,7403
2020-03-14,8086,510,72,7504
2020-03-15,8162,510,75,7577
2020-03-16,8236,1137,75,7024
2020-03-17,8320,1407,81,6832
2020-03-18,8413,1540,84,6789
2020-03-19,8565,1540,91,6934
2020-03-20,8652,1540,94,7018
2020-03-21,8799,1540,102,7157
2020-03-22,8961,2909,111,5941
2020-03-23,8961,2909,111,5941
2020-03-24,9037,3507,120,5410
2020-03-25,9137,3730,126,5281
2020-03-26,9241,4144,131,4966
2020-03-27,9332,4528,139,4665
2020-03-28,9478,4811,144,4523
2020-03-29,9583,5033,152,4398
2020-03-30,9661,5228,158,4275
2020-03-31,9786,5408,162,4216
2020-04-01,9887,5567,165,4155
2020-04-02,9976,5828,169,3979
2020-04-03,10062,6021,174,3867
2020-04-04,10156,6325,177,3654
2020-04-05,10237,6463,183,3591
2020-04-06,10284,6598,186,3500
2020-04-07,10331,6694,192,3445
2020-04-08,10384,6776,200,3408
2020-04-09,10423,6973,204,3246
2020-04-10,10450,7117,208,3125
2020-04-11,10480,7243,211,3026
2020-04-12,10512,7368,214,2930
2020-04-13,10537,7447,217,2873
2020-04-14,10564,7534,222,2808
2020-04-15,10591,7616,225,2750
2020-04-16,10613,7757,229,2627
2020-04-17,10635,7829,230,2576
2020-04-18,10653,7937,232,2484
2020-04-19,10661,8042,234,2385
2020-04-20,10674,8114,236,2324
2020-04-21,10683,8213,237,2233
2020-04-22,10694,8277,238,2179
2020-04-23,10708,8501,240,1967
2020-04-24,10718,8635,240,1843
2020-04-25,10728,8717,242,1769
2020-04-26,10738,8764,243,1731
2020-04-27,10752,8854,244,1654
2020-04-28,10761,8922,246,1593
2020-04-29,10765,9059,247,1459
2020-04-30,10774,9072,248,1454
2020-05-01,10780,9123,250,1407
2020-05-02,10793,9183,250,1360
2020-05-03,10801,9217,252,1332
2020-05-04,10804,9283,254,1267
2020-05-05,10806,9333,255,1218
2020-05-06,10810,9419,256,1135
2020-05-07,10822,9484,256,1082
2020-05-08,10840,9568,256,1016
2020-05-09,10874,9610,256,1008
