date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,1,0,0,1
2020-03-09,1,0,0,1
2020-03-10,3,0,0,3
2020-03-11,3,0,0,3
2020-03-12,3,0,0,3
2020-03-13,6,0,0,6
2020-03-14,12,0,0,12
2020-03-15,23,0,0,23
2020-03-16,23,0,0,23
2020-03-17,30,1,0,29
2020-03-18,30,1,1,28
2020-03-19,49,1,1,47
2020-03-20,66,1,1,64
2020-03-21,80,1,1,78
2020-03-22,94,1,1,92
2020-03-23,109,1,1,107
2020-03-24,125,2,1,122
2020-03-25,149,2,1,146
2020-03-26,177,2,1,174
2020-03-27,199,2,2,195
2020-03-28,231,2,2,227
2020-03-29,263,2,2,259
2020-03-30,298,15,2,281
2020-03-31,353,18,4,331
2020-04-01,423,23,5,395
2020-04-02,505,23,6,476
2020-04-03,591,26,8,557
