date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,3,0,0,3
2020-03-05,3,0,0,3
2020-03-06,4,0,0,4
2020-03-07,5,0,0,5
2020-03-08,5,0,0,5
2020-03-09,5,0,0,5
2020-03-10,5,0,0,5
2020-03-11,5,0,0,5
2020-03-12,5,0,0,5
2020-03-13,5,0,0,5
2020-03-14,6,0,0,6
2020-03-15,8,0,0,8
2020-03-16,8,0,0,8
2020-03-17,12,0,0,12
2020-03-18,20,0,0,20
2020-03-19,28,0,0,28
2020-03-20,39,0,0,39
2020-03-21,52,0,0,52
2020-03-22,102,0,0,102
2020-03-23,102,0,0,102
2020-03-24,155,12,0,143
2020-03-25,205,22,0,183
2020-03-26,283,27,0,256
2020-03-27,368,37,0,331
2020-03-28,451,50,0,401
2020-03-29,514,56,1,457
2020-03-30,589,63,1,525
2020-03-31,647,74,1,572
2020-04-01,708,83,1,624
2020-04-02,797,92,1,704
2020-04-03,868,103,1,764
