date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,0,0,1
2020-02-27,1,0,0,1
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,3,0,0,3
2020-03-07,3,0,0,3
2020-03-08,3,0,0,3
2020-03-09,3,0,0,3
2020-03-10,7,0,0,7
2020-03-11,7,0,0,7
2020-03-12,7,0,0,7
2020-03-13,14,1,0,13
2020-03-14,14,1,0,13
2020-03-15,14,1,0,13
2020-03-16,18,1,0,17
2020-03-17,26,1,0,25
2020-03-18,35,1,0,34
2020-03-19,48,1,0,47
2020-03-20,67,1,0,66
2020-03-21,85,1,0,84
2020-03-22,115,1,1,113
2020-03-23,136,1,2,133
2020-03-24,148,1,2,145
2020-03-25,177,1,3,173
2020-03-26,201,3,3,195
2020-03-27,219,3,3,213
2020-03-28,241,3,4,234
2020-03-29,259,3,6,250
2020-03-30,285,12,7,266
2020-03-31,329,12,9,308
2020-04-01,354,17,11,326
2020-04-02,384,17,11,356
2020-04-03,430,20,12,398
