date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,2,0,0,2
2020-02-01,2,0,0,2
2020-02-02,2,0,0,2
2020-02-03,2,0,0,2
2020-02-04,2,0,0,2
2020-02-05,2,0,0,2
2020-02-06,2,0,0,2
2020-02-07,2,0,0,2
2020-02-08,2,0,0,2
2020-02-09,2,0,0,2
2020-02-10,2,0,0,2
2020-02-11,2,0,0,2
2020-02-12,2,2,0,0
2020-02-13,2,2,0,0
2020-02-14,2,2,0,0
2020-02-15,2,2,0,0
2020-02-16,2,2,0,0
2020-02-17,2,2,0,0
2020-02-18,2,2,0,0
2020-02-19,2,2,0,0
2020-02-20,2,2,0,0
2020-02-21,2,2,0,0
2020-02-22,2,2,0,0
2020-02-23,2,2,0,0
2020-02-24,2,2,0,0
2020-02-25,2,2,0,0
2020-02-26,2,2,0,0
2020-02-27,2,2,0,0
2020-02-28,2,2,0,0
2020-02-29,2,2,0,0
2020-03-01,2,2,0,0
2020-03-02,3,2,0,1
2020-03-03,3,2,0,1
2020-03-04,3,2,0,1
2020-03-05,4,2,0,2
2020-03-06,13,2,0,11
2020-03-07,13,2,0,11
2020-03-08,17,3,0,14
2020-03-09,17,3,0,14
2020-03-10,20,3,0,17
2020-03-11,20,3,0,17
2020-03-12,28,3,0,25
2020-03-13,45,3,0,42
2020-03-14,59,8,0,51
2020-03-15,63,8,0,55
2020-03-16,90,8,0,82
2020-03-17,114,8,0,106
2020-03-18,147,8,0,139
2020-03-19,199,9,1,189
2020-03-20,253,9,1,243
2020-03-21,306,12,1,293
2020-03-22,367,16,1,350
2020-03-23,438,16,1,421
2020-03-24,495,22,1,472
2020-03-25,658,29,3,626
2020-03-26,840,38,3,799
2020-03-27,1036,45,4,987
2020-03-28,1264,49,4,1211
2020-03-29,1534,64,8,1462
2020-03-30,1836,66,9,1761
2020-03-31,2337,121,17,2199
2020-04-01,2777,190,24,2563
2020-04-02,3548,235,30,3283
