date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,5,0,0,5
2020-03-06,5,0,0,5
2020-03-07,5,0,0,5
2020-03-08,11,0,0,11
2020-03-09,15,0,0,15
2020-03-10,20,1,0,19
2020-03-11,21,1,0,20
2020-03-12,45,1,0,44
2020-03-13,86,1,0,85
2020-03-14,103,1,0,102
2020-03-15,103,1,0,102
2020-03-16,118,2,0,116
2020-03-17,171,6,0,165
2020-03-18,171,6,0,165
2020-03-19,274,6,0,268
2020-03-20,344,8,0,336
2020-03-21,392,16,0,376
2020-03-22,511,16,0,495
2020-03-23,562,16,0,546
2020-03-24,767,28,1,738
2020-03-25,900,29,2,869
2020-03-26,1012,33,3,976
2020-03-27,1104,35,3,1066
2020-03-28,1203,37,4,1162
2020-03-29,1299,66,8,1225
2020-03-30,1453,115,8,1330
2020-03-31,1563,165,10,1388
2020-04-01,1720,264,16,1440
2020-04-02,1885,328,21,1536
