date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,1,0,0,1
2020-01-24,3,0,0,3
2020-01-25,3,0,0,3
2020-01-26,4,0,0,4
2020-01-27,5,0,0,5
2020-01-28,7,0,0,7
2020-01-29,7,0,0,7
2020-01-30,10,0,0,10
2020-01-31,13,0,0,13
2020-02-01,16,0,0,16
2020-02-02,18,0,0,18
2020-02-03,18,0,0,18
2020-02-04,24,0,0,24
2020-02-05,28,0,0,28
2020-02-06,28,0,0,28
2020-02-07,30,0,0,30
2020-02-08,33,2,0,31
2020-02-09,40,2,0,38
2020-02-10,45,2,0,43
2020-02-11,47,9,0,38
2020-02-12,50,15,0,35
2020-02-13,58,15,0,43
2020-02-14,67,17,0,50
2020-02-15,72,18,0,54
2020-02-16,75,18,0,57
2020-02-17,77,24,0,53
2020-02-18,81,29,0,52
2020-02-19,84,34,0,50
2020-02-20,84,34,0,50
2020-02-21,85,37,0,48
2020-02-22,85,37,0,48
2020-02-23,89,51,0,38
2020-02-24,89,51,0,38
2020-02-25,91,53,0,38
2020-02-26,93,62,0,31
2020-02-27,93,62,0,31
2020-02-28,93,62,0,31
2020-02-29,102,72,0,30
2020-03-01,106,72,0,34
2020-03-02,108,78,0,30
2020-03-03,110,78,0,32
2020-03-04,110,78,0,32
2020-03-05,117,78,0,39
2020-03-06,130,78,0,52
2020-03-07,138,78,0,60
2020-03-08,150,78,0,72
2020-03-09,150,78,0,72
2020-03-10,160,78,0,82
2020-03-11,178,96,0,82
2020-03-12,178,96,0,82
2020-03-13,200,97,0,103
2020-03-14,212,105,0,107
2020-03-15,226,105,0,121
2020-03-16,243,109,0,134
2020-03-17,266,114,0,152
2020-03-18,313,114,0,199
2020-03-19,345,114,0,231
2020-03-20,385,124,0,261
2020-03-21,432,140,2,290
2020-03-22,455,144,2,309
2020-03-23,509,144,2,363
2020-03-24,558,156,2,400
2020-03-25,631,160,2,469
2020-03-26,683,172,2,509
2020-03-27,732,183,2,547
2020-03-28,802,198,2,602
2020-03-29,844,212,3,629
2020-03-30,879,228,3,648
2020-03-31,926,240,3,683
2020-04-01,1000,245,3,752
2020-04-02,1049,266,4,779
2020-04-03,1114,282,5,827
2020-04-04,1189,297,6,886
2020-04-05,1309,320,6,983
2020-04-06,1375,344,6,1025
2020-04-07,1481,377,6,1098
2020-04-08,1623,406,6,1211
2020-04-09,1910,460,6,1444
2020-04-10,2108,492,7,1609
2020-04-11,2299,528,8,1763
2020-04-12,2532,560,8,1964
2020-04-13,2918,586,9,2323
2020-04-14,3252,611,10,2631
2020-04-15,3699,652,10,3037
2020-04-16,4427,683,10,3734
2020-04-17,5050,708,11,4331
2020-04-18,5992,740,11,5241
2020-04-19,6588,768,11,5809
2020-04-20,8014,801,11,7202
2020-04-21,9125,839,11,8275
2020-04-22,10141,896,12,9233
2020-04-23,11178,924,12,10242
2020-04-24,12075,956,12,11107
2020-04-25,12693,1002,12,11679
2020-04-26,13624,1060,12,12552
2020-04-27,14423,1095,14,13314
2020-04-28,14951,1128,14,13809
2020-04-29,15641,1188,14,14439
2020-04-30,16169,1244,15,14910
2020-05-01,17101,1268,16,15817
2020-05-02,17548,1347,17,16184
2020-05-03,18205,1408,18,16779
2020-05-04,18778,1457,18,17303
2020-05-05,19410,1519,18,17873
2020-05-06,20198,1634,20,18544
2020-05-07,20939,1712,20,19207
2020-05-08,21707,2040,20,19647
2020-05-09,22460,2296,20,20144
2020-05-10,23336,2721,20,20595
2020-05-11,23822,3225,21,20576
2020-05-12,24671,3851,21,20799
2020-05-13,25346,4809,21,20516
2020-05-14,26098,5973,21,20104
2020-05-15,26891,7248,21,19622
2020-05-16,27356,8342,22,18992
2020-05-17,28038,9340,22,18676
2020-05-18,28343,9835,22,18486
2020-05-19,28794,10365,22,18407
2020-05-20,29364,11207,22,18135
2020-05-21,29812,12117,23,17672
2020-05-22,30426,12995,23,17408
2020-05-23,31068,13882,23,17163
2020-05-24,31616,14876,23,16717
2020-05-25,31960,15738,23,16199
2020-05-26,32343,16444,23,15876
2020-05-27,32876,17276,23,15577
2020-05-28,33249,18294,23,14932
2020-05-29,33860,19631,23,14206
2020-05-30,34366,20727,23,13616
2020-05-31,34884,21699,23,13162
2020-06-01,35292,22466,24,12802
2020-06-02,35836,23175,24,12637
2020-06-03,36405,23582,24,12799
2020-06-04,36922,23904,24,12994
2020-06-05,37183,24209,24,12950
2020-06-06,37527,24559,25,12943
2020-06-07,37910,24886,25,12999
2020-06-08,38296,25368,25,12903
2020-06-09,38514,25877,25,12612
2020-06-10,38965,26532,25,12408
2020-06-11,39387,27286,25,12076
2020-06-12,39850,28040,25,11785
