date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,1,0,0,1
2020-02-02,1,0,0,1
2020-02-03,1,0,0,1
2020-02-04,1,0,0,1
2020-02-05,1,0,0,1
2020-02-06,1,0,0,1
2020-02-07,1,0,0,1
2020-02-08,1,0,0,1
2020-02-09,2,0,0,2
2020-02-10,2,0,0,2
2020-02-11,2,0,0,2
2020-02-12,2,0,0,2
2020-02-13,2,0,0,2
2020-02-14,2,0,0,2
2020-02-15,2,2,0,0
2020-02-16,2,2,0,0
2020-02-17,2,2,0,0
2020-02-18,2,2,0,0
2020-02-19,2,2,0,0
2020-02-20,2,2,0,0
2020-02-21,2,2,0,0
2020-02-22,2,2,0,0
2020-02-23,2,2,0,0
2020-02-24,2,2,0,0
2020-02-25,6,2,0,4
2020-02-26,13,2,0,11
2020-02-27,15,2,0,13
2020-02-28,32,2,0,30
2020-02-29,45,2,0,43
2020-03-01,84,2,0,82
2020-03-02,120,2,0,118
2020-03-03,165,2,1,162
2020-03-04,222,2,2,218
2020-03-05,259,2,3,254
2020-03-06,400,2,5,393
2020-03-07,500,30,10,460
2020-03-08,673,30,17,626
2020-03-09,1073,32,28,1013
2020-03-10,1695,32,35,1628
2020-03-11,2277,183,54,2040
2020-03-12,2277,183,55,2039
2020-03-13,5232,193,133,4906
2020-03-14,6391,517,195,5679
2020-03-15,7798,517,289,6992
2020-03-16,9942,530,342,9070
2020-03-17,11748,1028,533,10187
2020-03-18,13910,1081,623,12206
2020-03-19,17963,1107,830,16026
2020-03-20,20410,1588,1043,17779
2020-03-21,25374,2125,1375,21874
2020-03-22,28768,2575,1772,24421
2020-03-23,35136,2575,2311,30250
2020-03-24,39885,3794,2808,33283
2020-03-25,49515,5367,3647,40501
2020-03-26,57786,7015,4365,46406
2020-03-27,65719,9357,5138,51224
2020-03-28,73235,12285,5982,54968
2020-03-29,80110,14709,6803,58598
2020-03-30,87956,16780,7716,63460
