date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,1,0,0,1
2020-02-02,1,0,0,1
2020-02-03,1,0,0,1
2020-02-04,1,0,0,1
2020-02-05,1,0,0,1
2020-02-06,1,0,0,1
2020-02-07,1,0,0,1
2020-02-08,1,0,0,1
2020-02-09,1,0,0,1
2020-02-10,1,0,0,1
2020-02-11,1,0,0,1
2020-02-12,1,0,0,1
2020-02-13,1,0,0,1
2020-02-14,1,0,0,1
2020-02-15,1,0,0,1
2020-02-16,1,0,0,1
2020-02-17,1,0,0,1
2020-02-18,1,0,0,1
2020-02-19,1,0,0,1
2020-02-20,1,0,0,1
2020-02-21,1,0,0,1
2020-02-22,1,0,0,1
2020-02-23,1,0,0,1
2020-02-24,1,0,0,1
2020-02-25,1,0,0,1
2020-02-26,2,0,0,2
2020-02-27,3,0,0,3
2020-02-28,11,0,0,11
2020-02-29,14,0,0,14
2020-03-01,14,0,0,14
2020-03-02,19,0,0,19
2020-03-03,32,0,0,32
2020-03-04,62,0,0,62
2020-03-05,87,0,0,87
2020-03-06,146,0,0,146
2020-03-07,179,0,0,179
2020-03-08,225,0,0,225
2020-03-09,326,0,0,326
2020-03-10,424,0,1,423
2020-03-11,620,0,1,619
2020-03-12,771,0,2,769
2020-03-13,923,0,3,920
2020-03-14,994,0,5,989
2020-03-15,1063,0,7,1056
2020-03-16,1146,0,8,1138
2020-03-17,1265,0,14,1251
2020-03-18,1410,0,21,1389
2020-03-19,1553,0,30,1523
2020-03-20,1733,0,38,1695
2020-03-21,1868,0,49,1819
2020-03-22,1986,0,60,1926
2020-03-23,2168,0,81,2087
2020-03-24,2398,0,103,2295
2020-03-25,2712,0,134,2578
2020-03-26,2998,0,166,2832
2020-03-27,3363,0,201,3162
2020-03-28,3663,0,239,3424
2020-03-29,3943,0,284,3659
2020-03-30,4359,0,332,4027
2020-03-31,4834,0,385,4449
2020-04-01,5320,0,455,4865
