date,confirmed,recovered,deaths,active
2020-01-22,1,0,0,1
2020-01-23,1,0,0,1
2020-01-24,2,0,0,2
2020-01-25,2,0,0,2
2020-01-26,5,0,0,5
2020-01-27,5,0,0,5
2020-01-28,5,0,0,5
2020-01-29,6,0,0,6
2020-01-30,6,0,0,6
2020-01-31,8,0,0,8
2020-02-01,8,0,0,8
2020-02-02,8,0,0,8
2020-02-03,11,0,0,11
2020-02-04,11,0,0,11
2020-02-05,11,0,0,11
2020-02-06,12,0,0,12
2020-02-07,12,0,0,12
2020-02-08,12,0,0,12
2020-02-09,12,3,0,9
2020-02-10,12,3,0,9
2020-02-11,13,3,0,10
2020-02-12,13,3,0,10
2020-02-13,14,3,0,11
2020-02-14,14,3,0,11
2020-02-15,14,3,0,11
2020-02-16,14,3,0,11
2020-02-17,14,3,0,11
2020-02-18,14,3,0,11
2020-02-19,14,3,0,11
2020-02-20,14,3,0,11
2020-02-21,16,5,0,11
2020-02-22,16,5,0,11
2020-02-23,16,5,0,11
2020-02-24,16,5,0,11
2020-02-25,16,6,0,10
2020-02-26,16,6,0,10
2020-02-27,17,6,0,11
2020-02-28,17,7,0,10
2020-02-29,25,7,1,17
2020-03-01,32,7,1,24
2020-03-02,55,7,6,42
2020-03-03,74,7,7,60
2020-03-04,107,7,11,89
2020-03-05,184,7,12,165
2020-03-06,237,7,14,216
2020-03-07,403,7,17,379
2020-03-08,519,7,21,491
2020-03-09,594,7,22,565
2020-03-10,782,8,28,746
2020-03-11,1147,8,33,1106
2020-03-12,1586,12,43,1531
2020-03-13,2219,12,51,2156
2020-03-14,2978,12,58,2908
2020-03-15,3212,12,70,3130
2020-03-16,4679,17,97,4565
2020-03-17,6512,17,134,6361
2020-03-18,9169,105,194,8870
2020-03-19,13663,121,266,13276
2020-03-20,20030,147,372,19511
2020-03-21,26025,176,475,25374
2020-03-22,34944,178,603,34163
2020-03-23,46096,178,790,45128
2020-03-24,56714,348,1033,55333
2020-03-25,68841,361,1366,67114
2020-03-26,86662,681,1783,84198
2020-03-27,105253,869,2305,102079
2020-03-28,127417,1072,3018,123327
2020-03-29,143544,2665,3573,137306
2020-03-30,165698,5644,4280,155774
2020-03-31,192079,7024,5359,179696
2020-04-01,227903,8474,6996,212433
2020-04-02,260183,9001,8556,242626
2020-04-03,292630,9707,9985,272938
2020-04-04,324340,14652,11605,298083
2020-04-05,353117,17448,13227,322442
2020-04-06,385110,19581,14989,350540
2020-04-07,415256,21763,17595,375898
2020-04-08,446500,23559,19747,403194
2020-04-09,482526,25410,22003,435113
2020-04-10,516707,28790,24217,463700
2020-04-11,545693,31270,26320,488103
2020-04-12,571551,32988,28203,510360
2020-04-13,598794,43482,30204,525108
2020-04-14,627306,47763,32685,546858
2020-04-15,653669,52096,35309,566264
2020-04-16,683351,54703,37496,591152
2020-04-17,716508,58545,39600,618363
2020-04-18,743857,64840,41543,637474
2020-04-19,768888,70337,43510,655041
2020-04-20,799531,72329,45795,681407
2020-04-21,825478,75204,48246,702028
2020-04-22,855445,77366,50712,727367
2020-04-23,887523,80203,53138,754182
2020-04-24,919014,99079,55201,764734
2020-04-25,949640,100372,56940,792328
2020-04-26,975537,106988,58354,810195
2020-04-27,1000230,111424,59840,828966
2020-04-28,1024834,115936,62074,846824
2020-04-29,1051643,120720,64448,866475
2020-04-30,1081150,153947,66638,860565
2020-05-01,1115972,164015,68518,883439
2020-05-02,1142619,175382,70291,896946
2020-05-03,1166189,180152,71492,914545
2020-05-04,1190240,187180,72862,930198
2020-05-05,1214321,189791,75041,949489
2020-05-06,1238694,189910,77359,971425
2020-05-07,1266904,195036,79262,992606
2020-05-08,1294111,198993,81033,1014085
