date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,4,0,0,4
2020-01-30,4,0,0,4
2020-01-31,4,0,0,4
2020-02-01,4,0,0,4
2020-02-02,5,0,0,5
2020-02-03,5,0,0,5
2020-02-04,5,0,0,5
2020-02-05,5,0,0,5
2020-02-06,5,0,0,5
2020-02-07,5,0,0,5
2020-02-08,7,0,0,7
2020-02-09,7,0,0,7
2020-02-10,8,0,0,8
2020-02-11,8,0,0,8
2020-02-12,8,1,0,7
2020-02-13,8,1,0,7
2020-02-14,8,1,0,7
2020-02-15,8,3,0,5
2020-02-16,9,4,0,5
2020-02-17,9,4,0,5
2020-02-18,9,4,0,5
2020-02-19,9,4,0,5
2020-02-20,9,4,0,5
2020-02-21,9,4,0,5
2020-02-22,13,4,0,9
2020-02-23,13,4,0,9
2020-02-24,13,4,0,9
2020-02-25,13,4,0,9
2020-02-26,13,4,0,9
2020-02-27,13,4,0,9
2020-02-28,19,5,0,14
2020-02-29,21,5,0,16
2020-03-01,21,5,0,16
2020-03-02,21,5,0,16
2020-03-03,27,5,0,22
2020-03-04,27,5,0,22
2020-03-05,29,5,0,24
2020-03-06,29,5,0,24
2020-03-07,45,7,0,38
2020-03-08,45,7,0,38
2020-03-09,45,7,0,38
2020-03-10,74,12,0,62
2020-03-11,74,17,0,57
2020-03-12,85,17,0,68
2020-03-13,85,17,0,68
2020-03-14,85,17,0,68
2020-03-15,98,23,0,75
2020-03-16,98,23,0,75
2020-03-17,98,23,0,75
2020-03-18,113,26,0,87
2020-03-19,140,31,0,109
2020-03-20,140,31,2,107
2020-03-21,153,38,2,113
2020-03-22,153,38,2,113
2020-03-23,198,38,2,158
2020-03-24,248,45,2,201
2020-03-25,333,52,2,279
2020-03-26,333,52,2,279
2020-03-27,405,52,2,351
2020-03-28,468,52,2,414
2020-03-29,570,58,3,509
2020-03-30,611,61,5,545
2020-03-31,664,61,6,597
2020-04-01,814,61,8,745
2020-04-02,1024,96,8,920
2020-04-03,1264,108,9,1147
