date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,2,0,0,2
2020-01-24,2,0,0,2
2020-01-25,2,0,0,2
2020-01-26,2,0,0,2
2020-01-27,2,0,0,2
2020-01-28,2,0,0,2
2020-01-29,2,0,0,2
2020-01-30,2,0,0,2
2020-01-31,2,0,0,2
2020-02-01,6,1,0,5
2020-02-02,6,1,0,5
2020-02-03,8,1,0,7
2020-02-04,8,1,0,7
2020-02-05,8,1,0,7
2020-02-06,10,1,0,9
2020-02-07,10,1,0,9
2020-02-08,13,1,0,12
2020-02-09,13,1,0,12
2020-02-10,14,1,0,13
2020-02-11,15,6,0,9
2020-02-12,15,6,0,9
2020-02-13,16,7,0,9
2020-02-14,16,7,0,9
2020-02-15,16,7,0,9
2020-02-16,16,7,0,9
2020-02-17,16,7,0,9
2020-02-18,16,7,0,9
2020-02-19,16,7,0,9
2020-02-20,16,7,0,9
2020-02-21,16,14,0,2
2020-02-22,16,14,0,2
2020-02-23,16,14,0,2
2020-02-24,16,14,0,2
2020-02-25,16,16,0,0
2020-02-26,16,16,0,0
2020-02-27,16,16,0,0
2020-02-28,16,16,0,0
2020-02-29,16,16,0,0
2020-03-01,16,16,0,0
2020-03-02,16,16,0,0
2020-03-03,16,16,0,0
2020-03-04,16,16,0,0
2020-03-05,16,16,0,0
2020-03-06,16,16,0,0
2020-03-07,18,16,0,2
2020-03-08,30,16,0,14
2020-03-09,30,16,0,14
2020-03-10,31,16,0,15
2020-03-11,38,16,0,22
2020-03-12,39,16,0,23
2020-03-13,47,16,0,31
2020-03-14,53,16,0,37
2020-03-15,56,16,0,40
2020-03-16,61,16,0,45
2020-03-17,66,16,0,50
2020-03-18,75,16,0,59
2020-03-19,85,16,0,69
2020-03-20,91,16,0,75
2020-03-21,94,17,0,77
2020-03-22,113,17,0,96
2020-03-23,123,17,0,106
2020-03-24,134,17,0,117
2020-03-25,141,17,0,124
2020-03-26,153,20,0,133
2020-03-27,163,20,0,143
2020-03-28,174,21,0,153
2020-03-29,188,25,0,163
2020-03-30,203,55,0,148
2020-03-31,212,58,0,154
2020-04-01,218,63,0,155
2020-04-02,233,75,0,158
2020-04-03,237,85,0,152
2020-04-04,240,90,0,150
2020-04-05,241,90,0,151
2020-04-06,245,95,0,150
2020-04-07,249,123,0,126
2020-04-08,251,126,0,125
2020-04-09,255,128,0,127
2020-04-10,257,144,0,113
2020-04-11,258,144,0,114
2020-04-12,262,144,0,118
2020-04-13,265,146,0,119
2020-04-14,266,169,0,97
2020-04-15,267,171,0,96
2020-04-16,268,177,0,91
2020-04-17,268,198,0,70
2020-04-18,268,201,0,67
2020-04-19,268,202,0,66
2020-04-20,268,214,0,54
2020-04-21,268,216,0,52
2020-04-22,268,223,0,45
2020-04-23,268,224,0,44
2020-04-24,270,220,0,50
2020-04-25,270,225,0,45
2020-04-26,270,225,0,45
2020-04-27,270,225,0,45
2020-04-28,270,222,0,48
2020-04-29,270,222,0,48
2020-04-30,270,219,0,51
2020-05-01,270,219,0,51
2020-05-02,270,219,0,51
2020-05-03,271,219,0,52
2020-05-04,271,219,0,52
2020-05-05,271,232,0,39
2020-05-06,271,232,0,39
2020-05-07,288,233,0,55
2020-05-08,288,241,0,47
2020-05-09,288,241,0,47
2020-05-10,288,241,0,47
2020-05-11,288,249,0,39
2020-05-12,288,252,0,36
2020-05-13,288,252,0,36
2020-05-14,312,260,0,52
2020-05-15,314,260,0,54
2020-05-16,318,260,0,58
2020-05-17,320,260,0,60
2020-05-18,324,263,0,61
2020-05-19,324,263,0,61
2020-05-20,324,263,0,61
2020-05-21,324,266,0,58
2020-05-22,324,267,0,57
2020-05-23,325,267,0,58
2020-05-24,325,267,0,58
2020-05-25,326,272,0,54
2020-05-26,327,272,0,55
2020-05-27,327,278,0,49
2020-05-28,327,278,0,49
2020-05-29,328,279,0,49
2020-05-30,328,279,0,49
2020-05-31,328,279,0,49
2020-06-01,328,293,0,35
2020-06-02,328,298,0,30
2020-06-03,328,302,0,26
2020-06-04,328,302,0,26
2020-06-05,328,307,0,21
2020-06-06,329,307,0,22
2020-06-07,331,307,0,24
2020-06-08,332,316,0,16
2020-06-09,332,316,0,16
2020-06-10,332,320,0,12
2020-06-11,332,321,0,11
2020-06-12,333,323,0,10
2020-06-13,334,323,0,11
2020-06-14,334,323,0,11
2020-06-15,334,323,0,11
2020-06-16,334,325,0,9
2020-06-17,335,325,0,10
2020-06-18,342,325,0,17
2020-06-19,349,326,0,23
2020-06-20,349,327,0,22
2020-06-21,349,327,0,22
2020-06-22,349,328,0,21
2020-06-23,349,329,0,20
2020-06-24,352,329,0,23
2020-06-25,352,329,0,23
2020-06-26,353,330,0,23
2020-06-27,355,330,0,25
2020-06-28,355,330,0,25
2020-06-29,355,335,0,20
2020-06-30,355,335,0,20
2020-07-01,355,336,0,19
2020-07-02,355,340,0,15
2020-07-03,355,340,0,15
2020-07-04,355,340,0,15
2020-07-05,355,340,0,15
2020-07-06,369,341,0,28
2020-07-07,369,342,0,27
2020-07-08,369,347,0,22
2020-07-09,369,347,0,22
2020-07-10,370,350,0,20
2020-07-11,370,350,0,20
2020-07-12,372,350,0,22
2020-07-13,373,352,0,21
2020-07-14,373,352,0,21
2020-07-15,381,353,0,28
2020-07-16,381,356,0,25
2020-07-17,382,356,0,26
2020-07-18,382,357,0,25
2020-07-19,383,357,0,26
2020-07-20,384,360,0,24
2020-07-21,401,365,0,36
2020-07-22,408,365,0,43
2020-07-23,412,365,0,47
2020-07-24,415,365,0,50
2020-07-25,417,365,0,52
2020-07-26,420,365,0,55
2020-07-27,431,365,0,66
2020-07-28,446,369,0,77
2020-07-29,459,369,0,90
2020-07-30,509,373,0,136
2020-07-31,558,373,3,182
2020-08-01,590,373,3,214
2020-08-02,621,373,6,242
2020-08-03,652,374,7,271
2020-08-04,672,378,8,286
2020-08-05,717,381,9,327
2020-08-06,750,392,10,348
2020-08-07,789,395,10,384
2020-08-08,812,395,10,407
2020-08-09,841,395,13,433
2020-08-10,847,399,15,433
2020-08-11,866,451,16,399
2020-08-12,883,409,18,456
2020-08-13,911,425,21,465
2020-08-14,930,437,22,471
2020-08-15,951,447,24,480
2020-08-16,964,456,24,484
2020-08-17,983,467,25,491
2020-08-18,989,526,26,437
2020-08-19,994,533,25,436
2020-08-20,1007,542,25,440
2020-08-21,1009,545,25,439
2020-08-22,1014,563,26,425
2020-08-23,1016,568,27,421
2020-08-24,1022,587,27,408
2020-08-25,1029,592,27,410
2020-08-26,1034,632,30,372
2020-08-27,1036,637,30,369
2020-08-28,1038,663,30,345
2020-08-29,1040,677,32,331
2020-08-30,1040,695,32,313
2020-08-31,1044,707,34,303
2020-09-01,1044,735,34,275
