date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,1,0,0,1
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,0,0,1
2020-03-07,6,0,0,6
2020-03-08,4,0,1,3
2020-03-09,0,0,0,0
2020-03-10,5,0,0,5
2020-03-11,2,0,0,2
2020-03-12,0,0,0,0
2020-03-13,12,0,1,11
2020-03-14,3,1,0,2
2020-03-15,11,0,0,11
2020-03-16,11,0,0,11
2020-03-17,12,2,0,10
2020-03-18,11,0,0,11
2020-03-19,18,0,1,17
2020-03-20,31,0,0,31
2020-03-21,30,0,1,29
2020-03-22,108,0,0,108
2020-03-23,35,0,0,35
2020-03-24,86,49,2,35
2020-03-25,0,0,2,-2
2020-03-26,115,11,1,103
2020-03-27,87,9,4,74
2020-03-28,101,0,5,96
2020-03-29,55,0,1,54
2020-03-30,75,156,4,-85
2020-03-31,234,12,4,218
2020-04-01,0,8,1,-9
2020-04-02,79,8,8,63
2020-04-03,132,10,3,119
