date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,4,0,0,4
2020-01-27,1,0,0,1
2020-01-28,0,0,0,0
2020-01-29,1,0,0,1
2020-01-30,3,2,0,1
2020-01-31,0,0,0,0
2020-02-01,3,0,0,3
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,1,0,0,1
2020-02-05,0,0,0,0
2020-02-06,1,0,0,1
2020-02-07,1,0,0,1
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,6,0,-6
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,2,0,-2
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,1,0,-1
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,10,0,0,10
2020-03-01,2,0,1,1
2020-03-02,3,0,0,3
2020-03-03,9,0,0,9
2020-03-04,13,0,1,12
2020-03-05,3,10,0,-7
2020-03-06,5,0,0,5
2020-03-07,3,0,0,3
2020-03-08,13,0,1,12
2020-03-09,15,0,0,15
2020-03-10,16,0,0,16
2020-03-11,21,0,0,21
2020-03-12,0,0,0,0
2020-03-13,72,2,0,70
2020-03-14,50,0,0,50
2020-03-15,47,0,0,47
2020-03-16,80,0,0,80
2020-03-17,75,0,2,73
2020-03-18,116,0,1,115
2020-03-19,113,3,0,110
2020-03-20,110,0,1,109
2020-03-21,280,0,0,280
2020-03-22,478,62,0,416
2020-03-23,133,0,0,133
2020-03-24,362,27,1,334
2020-03-25,320,4,0,316
2020-03-26,446,53,5,388
2020-03-27,333,22,0,311
2020-03-28,497,50,1,446
2020-03-29,344,0,2,342
2020-03-30,377,13,1,363
2020-03-31,198,101,1,96
2020-04-01,303,64,2,237
2020-04-02,254,98,4,152
2020-04-03,214,129,4,81
