date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,1,0,0,1
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,1,0,-1
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,1,0,0,1
2020-03-02,6,0,0,6
2020-03-03,5,0,0,5
2020-03-04,10,0,0,10
2020-03-05,27,0,0,27
2020-03-06,59,0,0,59
2020-03-07,60,0,0,60
2020-03-08,31,0,0,31
2020-03-09,39,0,0,39
2020-03-10,28,0,0,28
2020-03-11,47,0,3,44
2020-03-12,0,0,0,0
2020-03-13,245,0,0,245
2020-03-14,130,0,1,129
2020-03-15,197,0,0,197
2020-03-16,172,0,1,171
2020-03-17,185,0,5,180
2020-03-18,243,30,4,209
2020-03-19,309,0,7,302
2020-03-20,462,-30,16,476
2020-03-21,558,262,30,266
2020-03-22,586,0,8,578
2020-03-23,342,0,13,329
2020-03-24,526,198,34,294
2020-03-25,668,86,56,526
2020-03-26,1298,128,42,1128
2020-03-27,1049,183,69,797
2020-03-28,1850,205,64,1581
2020-03-29,1702,296,78,1328
2020-03-30,1063,168,82,813
2020-03-31,876,169,192,515
2020-04-01,1189,436,123,630
2020-04-02,1384,363,183,838
