date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,2,0,0,2
2020-03-06,0,0,0,0
2020-03-07,1,0,0,1
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,2,0,0,2
2020-03-11,2,0,0,2
2020-03-12,4,0,0,4
2020-03-13,2,0,0,2
2020-03-14,5,0,0,5
2020-03-15,6,0,0,6
2020-03-16,1,0,0,1
2020-03-17,1,2,0,-1
2020-03-18,12,0,0,12
2020-03-19,25,0,0,25
2020-03-20,26,0,0,26
2020-03-21,4,0,1,3
2020-03-22,33,0,0,33
2020-03-23,10,0,0,10
2020-03-24,30,0,2,28
2020-03-25,10,0,0,10
2020-03-26,15,0,0,15
2020-03-27,46,3,1,42
2020-03-28,21,0,1,20
2020-03-29,65,3,1,61
2020-03-30,45,9,4,32
2020-03-31,52,0,3,49
2020-04-01,39,2,0,37
2020-04-02,74,1,3,70
2020-04-03,46,7,1,38
