date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,2,0,0,2
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,7,0,0,7
2020-03-02,0,0,0,0
2020-03-03,1,0,0,1
2020-03-04,0,0,0,0
2020-03-05,3,0,0,3
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,7,0,0,7
2020-03-09,0,0,0,0
2020-03-10,5,0,0,5
2020-03-11,10,0,0,10
2020-03-12,0,0,0,0
2020-03-13,20,0,0,20
2020-03-14,33,0,0,33
2020-03-15,13,0,0,13
2020-03-16,81,0,0,81
2020-03-17,46,0,0,46
2020-03-18,37,0,0,37
2020-03-19,0,0,0,0
2020-03-20,196,6,0,190
2020-03-21,131,0,0,131
2020-03-22,95,2,1,92
2020-03-23,114,0,1,113
2020-03-24,176,9,0,167
2020-03-25,220,5,1,214
2020-03-26,164,0,1,163
2020-03-27,304,21,1,282
2020-03-28,350,18,1,331
2020-03-29,230,14,1,215
2020-03-30,310,81,1,228
2020-03-31,289,0,4,285
2020-04-01,293,78,4,211
2020-04-02,373,101,2,270
2020-04-03,333,92,4,237
