date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,2,0,0,2
2020-01-25,1,0,0,1
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,1,0,0,1
2020-01-29,1,0,0,1
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,1,0,0,1
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,5,0,0,5
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,2,0,-2
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,1,2,1,-2
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,2,7,0,-5
2020-02-26,4,0,1,3
2020-02-27,20,0,0,20
2020-02-28,19,0,0,19
2020-02-29,43,1,0,42
2020-03-01,30,0,0,30
2020-03-02,61,0,1,60
2020-03-03,21,0,1,20
2020-03-04,76,0,0,76
2020-03-05,138,0,3,135
2020-03-06,190,0,2,188
2020-03-07,332,0,7,325
2020-03-08,177,0,3,174
2020-03-09,286,0,6,280
2020-03-10,372,0,8,364
2020-03-11,510,0,15,495
2020-03-12,0,0,0,0
2020-03-13,1388,0,31,1357
2020-03-14,815,0,12,803
2020-03-15,36,0,0,36
2020-03-16,2151,0,58,2093
2020-03-17,1032,0,0,1032
2020-03-18,1409,0,0,1409
2020-03-19,1846,0,95,1751
2020-03-20,1788,0,207,1581
2020-03-21,1705,0,112,1593
2020-03-22,2298,2194,113,-9
2020-03-23,3359,0,186,3173
2020-03-24,2252,1044,240,968
2020-03-25,2959,657,231,2071
2020-03-26,3921,1048,364,2509
2020-03-27,3793,752,299,2742
2020-03-28,4648,17,318,4313
2020-03-29,2603,1502,294,807
2020-03-30,4349,738,417,3194
2020-03-31,7636,1549,501,5586
