date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,0,0,1
2020-02-27,2,0,0,2
2020-02-28,1,0,0,1
2020-02-29,0,0,0,0
2020-03-01,3,0,0,3
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,2,0,0,2
2020-03-05,22,0,0,22
2020-03-06,14,0,0,14
2020-03-07,1,0,0,1
2020-03-08,27,0,0,27
2020-03-09,0,0,0,0
2020-03-10,16,0,0,16
2020-03-11,10,0,1,9
2020-03-12,0,0,0,0
2020-03-13,91,0,0,91
2020-03-14,38,8,2,28
2020-03-15,103,0,1,102
2020-03-16,0,0,0,0
2020-03-17,56,0,1,55
2020-03-18,31,0,0,31
2020-03-19,0,0,1,-1
2020-03-20,77,11,2,64
2020-03-21,35,0,5,30
2020-03-22,94,0,2,92
2020-03-23,71,0,2,69
2020-03-24,48,10,3,35
2020-03-25,92,7,2,83
2020-03-26,0,0,0,0
2020-03-27,0,16,0,-16
2020-03-28,0,0,0,0
2020-03-29,321,0,16,305
2020-03-30,0,0,0,0
2020-03-31,0,0,0,0
2020-04-01,0,0,0,0
2020-04-02,0,9,0,-9
2020-04-03,457,17,21,419
