date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,2,0,0,2
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,2,0,0,2
2020-03-08,3,0,0,3
2020-03-09,2,0,0,2
2020-03-10,0,0,0,0
2020-03-11,4,0,0,4
2020-03-12,0,0,0,0
2020-03-13,6,0,0,6
2020-03-14,11,1,0,10
2020-03-15,2,0,1,1
2020-03-16,7,0,0,7
2020-03-17,11,1,0,10
2020-03-18,8,0,0,8
2020-03-19,15,0,0,15
2020-03-20,12,0,2,10
2020-03-21,18,5,1,12
2020-03-22,28,9,2,17
2020-03-23,36,0,1,35
2020-03-24,20,5,2,13
2020-03-25,39,0,1,38
2020-03-26,35,7,0,28
2020-03-27,39,6,0,33
2020-03-28,43,0,1,42
2020-03-29,65,0,2,63
2020-03-30,39,0,2,37
2020-03-31,45,3,1,41
2020-04-01,33,3,4,26
2020-04-02,60,2,1,57
2020-04-03,38,1,5,32
