date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,2,0,2,0
2020-02-20,3,0,0,3
2020-02-21,13,0,2,11
2020-02-22,10,0,1,9
2020-02-23,15,0,3,12
2020-02-24,18,0,4,14
2020-02-25,34,0,4,30
2020-02-26,44,49,3,-8
2020-02-27,106,0,7,99
2020-02-28,143,24,8,111
2020-02-29,205,50,9,146
2020-03-01,385,52,11,322
2020-03-02,523,116,12,395
2020-03-03,835,0,11,824
2020-03-04,586,261,15,310
2020-03-05,591,187,15,389
2020-03-06,1234,174,17,1043
2020-03-07,1076,756,21,299
2020-03-08,743,465,49,229
2020-03-09,595,260,43,292
2020-03-10,881,337,54,490
2020-03-11,958,228,63,667
2020-03-12,1075,0,75,1000
2020-03-13,1289,0,85,1204
2020-03-14,1365,0,97,1268
2020-03-15,1209,1631,113,-535
2020-03-16,1053,0,129,924
2020-03-17,1178,799,135,244
2020-03-18,1192,0,147,1045
2020-03-19,1046,321,149,576
2020-03-20,1237,1035,149,53
2020-03-21,966,890,123,-47
2020-03-22,1028,296,129,603
2020-03-23,1411,0,127,1284
2020-03-24,1762,982,122,658
2020-03-25,2206,712,143,1351
2020-03-26,2389,832,157,1400
2020-03-27,2926,676,144,2106
2020-03-28,3076,546,139,2391
2020-03-29,2901,712,123,2066
2020-03-30,3186,1520,117,1549
2020-03-31,3110,745,141,2224
