date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,0,0,1
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,1,0,0,1
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,1,0,1,0
2020-03-11,2,0,0,2
2020-03-12,1,0,0,1
2020-03-13,1,1,0,0
2020-03-14,10,0,0,10
2020-03-15,11,0,0,11
2020-03-16,1,0,0,1
2020-03-17,9,0,1,8
2020-03-18,11,0,0,11
2020-03-19,14,0,0,14
2020-03-20,14,0,1,13
2020-03-21,19,2,0,17
2020-03-22,19,0,1,18
2020-03-23,28,0,0,28
2020-03-24,27,3,1,23
2020-03-25,55,1,1,53
2020-03-26,50,1,5,44
2020-03-27,70,3,12,55
2020-03-28,57,0,2,55
2020-03-29,77,2,1,74
2020-03-30,77,2,7,68
2020-03-31,61,9,3,49
2020-04-01,37,5,3,29
2020-04-02,54,2,5,47
2020-04-03,83,26,4,53
