date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,0,0,1
2020-02-28,5,0,0,5
2020-02-29,4,0,0,4
2020-03-01,8,0,0,8
2020-03-02,6,0,0,6
2020-03-03,14,0,0,14
2020-03-04,44,0,0,44
2020-03-05,46,0,0,46
2020-03-06,60,0,1,59
2020-03-07,77,0,0,77
2020-03-08,56,0,2,54
2020-03-09,61,0,0,61
2020-03-10,121,0,1,120
2020-03-11,100,0,1,99
2020-03-12,201,0,0,201
2020-03-13,157,0,5,152
2020-03-14,177,0,2,175
2020-03-15,278,0,8,270
2020-03-16,292,0,4,288
2020-03-17,349,0,19,330
2020-03-18,410,0,15,395
2020-03-19,534,0,19,515
2020-03-20,639,0,30,609
2020-03-21,573,0,30,543
2020-03-22,549,0,43,506
2020-03-23,813,0,34,779
2020-03-24,857,1,63,793
2020-03-25,1025,0,80,945
2020-03-26,1183,2,78,1103
2020-03-27,1166,0,112,1054
2020-03-28,1117,0,93,1024
2020-03-29,891,0,132,759
2020-03-30,848,0,93,755
2020-03-31,1024,0,175,849
2020-04-01,1093,7,135,951
2020-04-02,1035,0,166,869
2020-04-03,911,0,149,762
