date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,1,0,0,1
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,2,0,0,2
2020-03-05,0,0,0,0
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,1,0,0,1
2020-03-15,2,0,0,2
2020-03-16,0,0,0,0
2020-03-17,4,0,0,4
2020-03-18,8,0,0,8
2020-03-19,8,0,0,8
2020-03-20,11,0,0,11
2020-03-21,13,0,0,13
2020-03-22,50,0,0,50
2020-03-23,0,0,0,0
2020-03-24,53,12,0,41
2020-03-25,50,10,0,40
2020-03-26,78,5,0,73
2020-03-27,85,10,0,75
2020-03-28,83,13,0,70
2020-03-29,63,6,1,56
2020-03-30,75,7,0,68
2020-03-31,58,11,0,47
2020-04-01,61,9,0,52
2020-04-02,89,9,0,80
2020-04-03,71,11,0,60
