date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,2,0,0,2
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,2,0,0,2
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,0,0,1
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,1,0,0,1
2020-03-06,0,0,0,0
2020-03-07,0,1,0,-1
2020-03-08,0,0,0,0
2020-03-09,10,0,0,10
2020-03-10,3,1,0,2
2020-03-11,1,0,0,1
2020-03-12,8,0,0,8
2020-03-13,3,0,0,3
2020-03-14,22,0,0,22
2020-03-15,83,0,0,83
2020-03-16,100,0,0,100
2020-03-17,63,0,0,63
2020-03-18,155,11,2,142
2020-03-19,47,0,1,46
2020-03-20,229,0,0,229
2020-03-21,46,-8,2,52
2020-03-22,99,0,1,98
2020-03-23,97,13,1,83
2020-03-24,91,3,1,87
2020-03-25,138,0,1,137
2020-03-26,172,2,2,168
2020-03-27,122,6,1,115
2020-03-28,102,0,2,100
2020-03-29,120,47,7,66
2020-03-30,221,0,5,216
2020-03-31,180,18,1,161
2020-04-01,303,31,7,265
2020-04-02,265,1,6,258
2020-04-03,132,5,1,126
