date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,1,0,0,1
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,1,0,1,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,1,0,0,1
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,1,0,-1
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,2,0,0,2
2020-03-07,1,0,0,1
2020-03-08,4,0,0,4
2020-03-09,10,0,0,10
2020-03-10,13,1,0,12
2020-03-11,16,0,0,16
2020-03-12,3,0,1,2
2020-03-13,12,0,3,9
2020-03-14,47,0,3,44
2020-03-15,29,0,3,26
2020-03-16,2,0,1,1
2020-03-17,45,3,0,42
2020-03-18,15,0,7,8
2020-03-19,15,3,-2,14
2020-03-20,13,0,1,12
2020-03-21,77,5,1,71
2020-03-22,73,4,6,63
2020-03-23,82,0,8,74
2020-03-24,90,3,2,85
2020-03-25,84,6,3,75
2020-03-26,71,2,7,62
2020-03-27,96,3,9,84
2020-03-28,272,4,14,254
2020-03-29,343,7,3,333
2020-03-30,128,0,7,121
2020-03-31,538,7,10,521
2020-04-01,227,1,8,218
2020-04-02,322,1,11,310
2020-04-03,385,1,29,355
