date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,2,0,0,2
2020-03-03,0,0,0,0
2020-03-04,3,0,0,3
2020-03-05,3,0,0,3
2020-03-06,5,0,0,5
2020-03-07,7,0,0,7
2020-03-08,10,0,0,10
2020-03-09,0,0,0,0
2020-03-10,11,0,0,11
2020-03-11,18,0,0,18
2020-03-12,0,0,0,0
2020-03-13,53,1,0,52
2020-03-14,57,1,0,56
2020-03-15,76,0,0,76
2020-03-16,86,1,0,85
2020-03-17,117,0,1,116
2020-03-18,0,0,1,-1
2020-03-19,337,0,1,336
2020-03-20,235,2,3,230
2020-03-21,260,0,6,254
2020-03-22,320,0,2,318
2020-03-23,460,0,9,451
2020-03-24,302,17,10,275
2020-03-25,633,0,10,623
2020-03-26,549,21,17,511
2020-03-27,724,0,16,708
2020-03-28,902,0,24,878
2020-03-29,792,0,19,773
2020-03-30,446,0,21,425
2020-03-31,1035,0,20,1015
2020-04-01,808,0,27,781
2020-04-02,783,25,22,736
2020-04-03,852,0,37,815
