date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,1,0,0,1
2020-02-26,0,0,0,0
2020-02-27,7,0,0,7
2020-02-28,0,0,0,0
2020-02-29,10,0,0,10
2020-03-01,9,0,0,9
2020-03-02,15,0,0,15
2020-03-03,14,2,0,12
2020-03-04,34,1,0,33
2020-03-05,24,0,0,24
2020-03-06,100,0,1,99
2020-03-07,54,0,0,54
2020-03-08,69,0,1,68
2020-03-09,37,0,0,37
2020-03-10,117,0,3,114
2020-03-11,161,1,2,158
2020-03-12,0,0,3,-3
2020-03-13,487,0,1,486
2020-03-14,220,0,3,217
2020-03-15,841,0,8,833
2020-03-16,0,0,11,-11
2020-03-17,500,0,7,493
2020-03-18,328,11,8,309
2020-03-19,1047,0,10,1037
2020-03-20,1219,0,20,1199
2020-03-21,1281,0,20,1261
2020-03-22,899,116,15,768
2020-03-23,1321,0,28,1293
2020-03-24,1082,0,20,1062
2020-03-25,1020,0,35,985
2020-03-26,914,0,42,872
2020-03-27,1117,1399,35,-317
2020-03-28,1148,0,56,1092
2020-03-29,753,65,47,641
2020-03-30,1093,228,58,807
2020-03-31,683,0,51,632
2020-04-01,1163,1144,61,-42
2020-04-02,1059,1046,59,-46
