date,confirmed,recovered,deaths,active
2020-01-22,4,2,0,2
2020-01-23,0,0,0,0
2020-01-24,1,1,0,0
2020-01-25,1,0,0,1
2020-01-26,2,3,0,-1
2020-01-27,0,0,0,0
2020-01-28,6,0,0,6
2020-01-29,0,0,0,0
2020-01-30,0,1,0,-1
2020-01-31,5,1,0,4
2020-02-01,0,0,0,0
2020-02-02,0,1,0,-1
2020-02-03,0,0,0,0
2020-02-04,6,1,0,5
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,7,0,0,7
2020-02-09,0,1,0,-1
2020-02-10,0,0,0,0
2020-02-11,1,0,0,1
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,1,2,0,-1
2020-02-16,0,2,0,-2
2020-02-17,1,0,0,1
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,2,0,-2
2020-02-21,0,2,0,-2
2020-02-22,0,1,0,-1
2020-02-23,0,1,0,-1
2020-02-24,0,0,0,0
2020-02-25,2,1,0,1
2020-02-26,3,2,0,1
2020-02-27,0,0,0,0
2020-02-28,1,4,0,-3
2020-02-29,1,0,0,1
2020-03-01,0,2,1,-3
2020-03-02,1,1,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,4,0,0,4
2020-03-06,1,0,0,1
2020-03-07,2,0,0,2
2020-03-08,0,2,0,-2
2020-03-09,0,0,0,0
2020-03-10,3,0,0,3
2020-03-11,6,1,0,5
2020-03-12,13,1,0,12
2020-03-13,3,0,0,3
2020-03-14,7,0,0,7
2020-03-15,32,2,0,30
2020-03-16,33,1,0,32
2020-03-17,30,3,0,27
2020-03-18,35,1,0,34
2020-03-19,60,0,0,60
2020-03-20,50,1,0,49
2020-03-21,89,1,0,88
2020-03-22,188,1,0,187
2020-03-23,122,-1,0,123
2020-03-24,106,13,4,89
2020-03-25,107,13,0,94
2020-03-26,111,18,0,93
2020-03-27,91,9,0,82
2020-03-28,108,3,1,104
2020-03-29,141,11,1,129
2020-03-30,138,16,2,120
2020-03-31,128,215,1,-88
2020-04-01,120,74,2,44
2020-04-02,104,89,3,12
2020-04-03,103,76,4,23
2020-04-04,89,31,1,57
2020-04-05,102,62,3,37
2020-04-06,51,119,3,-71
2020-04-07,38,31,1,6
2020-04-08,111,64,5,42
2020-04-09,54,52,0,2
2020-04-10,50,73,1,-24
2020-04-11,45,122,2,-79
2020-04-12,33,83,3,-53
2020-04-13,28,70,2,-44
2020-04-14,34,117,1,-84
2020-04-15,30,92,2,-64
2020-04-16,29,96,3,-70
2020-04-17,28,96,1,-69
2020-04-18,33,98,0,-65
2020-04-19,32,141,0,-109
2020-04-20,27,71,0,-44
2020-04-21,19,109,2,-92
2020-04-22,15,244,0,-229
2020-04-23,13,78,1,-66
2020-04-24,15,60,0,-45
2020-04-25,53,57,1,-5
2020-04-26,15,47,0,-32
2020-04-27,9,15,1,-7
2020-04-28,7,43,2,-38
2020-04-29,9,13,0,-4
2020-04-30,7,22,0,-15
2020-05-01,6,32,0,-26
2020-05-02,6,13,0,-7
2020-05-03,3,7,0,-4
2020-05-04,18,1,0,17
2020-05-05,1,7,0,-6
2020-05-06,1,14,1,-14
2020-05-07,3,11,0,-8
2020-05-08,8,12,0,-4
2020-05-09,4,3,1,0
2020-05-10,5,7,0,-2
2020-05-11,6,2,0,4
2020-05-12,2,2,0,0
2020-05-13,0,46,0,-46
2020-05-14,1,6,0,-5
2020-05-15,7,4,0,3
2020-05-16,0,1,0,-1
2020-05-17,3,1,0,2
2020-05-18,3,1,0,2
2020-05-19,2,0,0,2
2020-05-20,1,31,0,-30
2020-05-21,3,9,0,-6
2020-05-22,0,13,0,-13
2020-05-23,3,6,0,-3
2020-05-24,0,5,1,-6
2020-05-25,2,7,0,-5
2020-05-26,3,1,0,2
2020-05-27,9,2,0,7
2020-05-28,11,14,0,-3
2020-05-29,11,0,0,11
2020-05-30,1,16,0,-15
2020-05-31,4,2,0,2
2020-06-01,1,2,0,-1
2020-06-02,1,1,1,-1
2020-06-03,1,2,0,-1
2020-06-04,17,0,0,17
2020-06-05,1,3,0,-2
2020-06-06,2,0,0,2
2020-06-07,8,1,0,7
2020-06-08,7,1,0,6
2020-06-09,2,0,0,2
2020-06-10,4,8,0,-4
2020-06-11,0,6,0,-6
2020-06-12,4,0,0,4
2020-06-13,5,0,0,5
2020-06-14,1,0,0,1
2020-06-15,0,0,0,0
2020-06-16,0,6,0,-6
2020-06-17,0,3,0,-3
2020-06-18,6,1,0,5
2020-06-19,5,11,0,-6
2020-06-20,1,10,0,-9
2020-06-21,1,0,0,1
2020-06-22,3,4,0,-1
2020-06-23,5,1,0,4
2020-06-24,1,3,0,-2
2020-06-25,1,12,0,-11
2020-06-26,4,2,0,2
2020-06-27,0,13,0,-13
2020-06-28,0,0,0,0
2020-06-29,7,0,0,7
2020-06-30,2,3,0,-1
2020-07-01,2,3,0,-1
2020-07-02,6,0,0,6
2020-07-03,1,7,0,-6
2020-07-04,5,0,0,5
2020-07-05,5,5,0,0
2020-07-06,5,1,0,4
2020-07-07,0,0,0,0
2020-07-08,2,2,0,0
2020-07-09,5,11,0,-6
2020-07-10,0,2,0,-2
2020-07-11,14,1,0,13
2020-07-12,1,0,0,1
2020-07-13,3,2,0,1
2020-07-14,7,1,0,6
2020-07-15,5,1,0,4
2020-07-16,4,3,0,1
2020-07-17,3,1,0,2
2020-07-18,7,0,0,7
2020-07-19,3,0,0,3
2020-07-20,1,0,0,1
2020-07-21,5,9,0,-4
2020-07-22,-2,0,0,-2
2020-07-23,16,0,0,16
2020-07-24,10,2,0,8
2020-07-25,3,2,0,1
2020-07-26,9,0,0,9
2020-07-27,4,2,0,2
2020-07-28,2,0,0,2
2020-07-29,1,0,0,1
2020-07-30,6,0,0,6
2020-07-31,6,14,0,-8
2020-08-01,2,10,0,-8
2020-08-02,5,7,0,-2
2020-08-03,3,0,0,3
2020-08-04,1,0,0,1
2020-08-05,7,2,0,5
2020-08-06,2,4,0,-2
2020-08-07,15,0,0,15
2020-08-08,3,2,0,1
2020-08-09,3,1,0,2
2020-08-10,0,9,0,-9
2020-08-11,0,3,0,-3
2020-08-12,5,6,0,-1
2020-08-13,3,0,0,3
2020-08-14,17,4,0,13
2020-08-15,0,20,0,-20
2020-08-16,1,1,0,0
2020-08-17,1,0,0,1
2020-08-18,3,4,0,-1
2020-08-19,1,1,0,0
2020-08-20,7,19,0,-12
2020-08-21,1,1,0,0
2020-08-22,0,1,0,-1
2020-08-23,5,1,0,4
2020-08-24,2,1,0,1
2020-08-25,5,7,0,-2
2020-08-26,1,8,0,-7
2020-08-27,1,0,0,1
2020-08-28,6,0,0,6
2020-08-29,1,5,0,-4
2020-08-30,0,10,0,-10
2020-08-31,1,0,0,1
2020-09-01,5,22,0,-17
2020-09-02,8,0,0,8
2020-09-03,2,3,0,-1
2020-09-04,4,0,0,4
2020-09-05,7,2,0,5
2020-09-06,6,2,0,4
2020-09-07,1,0,0,1
2020-09-08,1,3,0,-2
2020-09-09,1,2,0,-1
2020-09-10,7,24,0,-17
2020-09-11,7,2,0,5
2020-09-12,5,0,0,5
2020-09-13,7,0,0,7
2020-09-14,2,0,0,2
2020-09-15,5,3,0,2
2020-09-16,10,1,0,9
2020-09-17,0,9,0,-9
2020-09-18,7,3,1,3
2020-09-19,3,10,0,-7
2020-09-20,6,4,0,2
2020-09-21,0,1,0,-1
2020-09-22,5,2,0,3
2020-09-23,3,8,0,-5
2020-09-24,2,7,0,-5
