date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,1,0,0,1
2020-03-12,0,0,0,0
2020-03-13,4,0,0,4
2020-03-14,0,0,0,0
2020-03-15,1,0,0,1
2020-03-16,12,0,0,12
2020-03-17,29,0,1,28
2020-03-18,51,0,0,51
2020-03-19,94,0,2,92
2020-03-20,167,0,1,166
2020-03-21,311,0,5,306
2020-03-22,566,0,21,545
2020-03-23,293,0,7,286
2020-03-24,343,0,7,336
2020-03-25,561,26,15,520
2020-03-26,1196,0,16,1180
2020-03-27,2069,16,17,2036
2020-03-28,1704,28,16,1660
2020-03-29,1815,35,23,1757
2020-03-30,1610,57,37,1516
2020-03-31,2704,81,46,2577
2020-04-01,2148,90,63,1995
2020-04-02,2456,82,79,2295
