date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,4,0,0,4
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,1,0,0,1
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,2,0,0,2
2020-02-09,0,0,0,0
2020-02-10,1,0,0,1
2020-02-11,0,0,0,0
2020-02-12,0,1,0,-1
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,2,0,-2
2020-02-16,1,1,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,4,0,0,4
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,6,1,0,5
2020-02-29,2,0,0,2
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,6,0,0,6
2020-03-04,0,0,0,0
2020-03-05,2,0,0,2
2020-03-06,0,0,0,0
2020-03-07,16,2,0,14
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,29,5,0,24
2020-03-11,0,5,0,-5
2020-03-12,11,0,0,11
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,13,6,0,7
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,15,3,0,12
2020-03-19,27,5,0,22
2020-03-20,0,0,2,-2
2020-03-21,13,7,0,6
2020-03-22,0,0,0,0
2020-03-23,45,0,0,45
2020-03-24,50,7,0,43
2020-03-25,85,7,0,78
2020-03-26,0,0,0,0
2020-03-27,72,0,0,72
2020-03-28,63,0,0,63
2020-03-29,102,6,1,95
2020-03-30,41,3,2,36
2020-03-31,53,0,1,52
2020-04-01,150,0,2,148
2020-04-02,210,35,0,175
2020-04-03,240,12,1,227
