id	name	confirmed	recovered	deaths	active	
CHN	China	4903524	0	101056	4802468	
IND	India	44690738	0	530779	44159959	
USA	US	103802702	0	1123836	102678866	
IDN	Indonesia	6738225	0	160941	6577284	
BRA	Brazil	37076053	0	699276	36376777	
PAK	Pakistan	1577411	0	30644	1546767	
BGD	Bangladesh	2037871	0	29445	2008426	
NGA	Nigeria	266598	0	3155	263443	
RUS	Russia	22075858	0	388478	21687380	
JPN	Japan	33320438	0	72997	33247441	
MEX	Mexico	7483444	0	333188	7150256	
PHL	Philippines	4077452	0	66188	4011264	
VNM	Vietnam	11526994	0	43186	11483808	
ETH	Ethiopia	500116	0	7572	492544	
DEU	Germany	38249060	0	168935	38080125	
EGY	Egypt	515759	0	24812	490947	
TUR	Turkey	17042722	0	101492	16941230	
COD	Congo (Kinshasa)	95749	0	1464	94285	
IRN	Iran	7572311	0	144933	7427378	
THA	Thailand	4728182	0	33918	4694264	
FRA	France	39866718	0	166176	39700542	
GBR	United Kingdom	24658705	0	220721	24437984	
ITA	Italy	25603510	0	188322	25415188	
MMR	Burma	633950	0	19490	614460	
ZAF	South Africa	4067067	0	102595	3964472	
KOR	Korea, South	30615522	0	34093	30581429	
UKR	Ukraine	5711929	0	119283	5592646	
COL	Colombia	6359093	0	142339	6216754	
SDN	Sudan	63829	0	5017	58812	
TZA	Tanzania	42906	0	846	42060	
ARG	Argentina	10044957	0	130472	9914485	
ESP	Spain	13770429	0	119479	13650950	
KEN	Kenya	342937	0	5688	337249	
POL	Poland	6444960	0	119010	6325950	
DZA	Algeria	271496	0	6881	264615	
CAN	Canada	4617095	0	51720	4565375	
UGA	Uganda	170544	0	3630	166914	
MAR	Morocco	1272490	0	16296	1256194	
PER	Peru	4487553	0	219539	4268014	
IRQ	Iraq	2465545	0	25375	2440170	
SAU	Saudi Arabia	830127	0	9618	820509	
AFG	Afghanistan	209451	0	7896	201555	
NPL	Nepal	1001154	0	12020	989134	
UZB	Uzbekistan	251247	0	1637	249610	
